part,key1,key2,B2,B5,B6,extra
P1_benign_FPR,5,,0.0000,0.0000,0.0000,
P1_benign_FPR,12,,0.0042,0.0042,0.0000,
P1_benign_FPR,18,,0.1368,0.1368,0.0000,
P1_benign_FPR,24,,0.5907,0.5907,0.0000,
P1_benign_FPR,36,,0.9920,0.9920,0.0000,
P1_benign_FPR,60,,1.0000,1.0000,0.0000,
P1_benign_FPR,120,,1.0000,1.0000,0.0000,
P1_benign_FPR,300,,1.0000,1.0000,0.0000,
P2_TPR,attack_sweep,24,0.6340,0.6340,0.9998,FPRb6=0.0000
P2_TPR,attack_sweep,60,1.0000,1.0000,1.0000,FPRb6=0.0000
P2_TPR,attack_sweep,120,1.0000,1.0000,1.0000,FPRb6=0.0000
P2_TPR,attack_sweep,200,1.0000,1.0000,1.0000,FPRb6=0.0000
P2_TPR,attack_random,24,0.6138,0.6138,0.9970,FPRb6=0.0000
P2_TPR,attack_random,60,1.0000,1.0000,1.0000,FPRb6=0.0000
P2_TPR,attack_random,120,1.0000,1.0000,1.0000,FPRb6=0.0000
P2_TPR,attack_random,200,1.0000,1.0000,1.0000,FPRb6=0.0000
P2_TPR,attack_fixed,24,0.6290,0.0000,0.9998,FPRb6=0.0000
P2_TPR,attack_fixed,60,1.0000,0.0000,1.0000,FPRb6=0.0000
P2_TPR,attack_fixed,120,1.0000,0.0000,1.0000,FPRb6=0.0000
P2_TPR,attack_fixed,200,1.0000,0.0000,1.0000,FPRb6=0.0000
P2_TPR,attack_bursty,24,0.8455,0.8455,1.0000,FPRb6=0.0000
P2_TPR,attack_bursty,60,1.0000,1.0000,1.0000,FPRb6=0.0000
P2_TPR,attack_bursty,120,1.0000,1.0000,1.0000,FPRb6=0.0000
P2_TPR,attack_bursty,200,1.0000,1.0000,1.0000,FPRb6=0.0000
P3_intensity,M=0,M/Q=0.0,0.0068,0.0068,0.0000,success=0.0000
P3_intensity,M=3,M/Q=0.2,0.0325,0.0325,0.0008,success=0.0015
P3_intensity,M=6,M/Q=0.5,0.1153,0.1153,0.0015,success=0.0029
P3_intensity,M=12,M/Q=1.0,0.5643,0.5643,0.0575,success=0.0059
P3_intensity,M=24,M/Q=2.0,0.9870,0.9870,0.5333,success=0.0117
P3_intensity,M=60,M/Q=5.0,1.0000,1.0000,1.0000,success=0.0293
P3_intensity,M=120,M/Q=10.0,1.0000,1.0000,1.0000,success=0.0586
P3_intensity,M=300,M/Q=25.0,1.0000,1.0000,1.0000,success=0.1465
P3_intensity,M=600,M/Q=50.0,1.0000,1.0000,1.0000,success=0.2930
