behavior,level_samples_per_window,variant,n_runs,blocks_total,decisions_total,fpr_pooled,fpr_run_mean,fpr_run_ci_lo,fpr_run_ci_hi,fpr_cp_ci_lo,fpr_cp_ci_hi
random2048,5,combined,20,0,6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000615
random2048,5,volume,20,0,6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000615
random2048,5,entropy,20,1,6000,0.000167,0.000167,-0.000182,0.000516,0.000004,0.000928
random2048,5,unique,20,5996,6000,0.999333,0.999333,0.998373,1.000294,0.998294,0.999818
random2048,12,combined,20,8,6000,0.001333,0.001333,-0.000519,0.003186,0.000576,0.002625
random2048,12,volume,20,8,6000,0.001333,0.001333,-0.000519,0.003186,0.000576,0.002625
random2048,12,entropy,20,1162,6000,0.193667,0.193667,0.170930,0.216403,0.183735,0.203897
random2048,12,unique,20,6000,6000,1.000000,1.000000,1.000000,1.000000,0.999385,1.000000
random2048,18,combined,20,841,6000,0.140167,0.140167,0.097909,0.182425,0.131476,0.149209
random2048,18,volume,20,841,6000,0.140167,0.140167,0.097909,0.182425,0.131476,0.149209
random2048,18,entropy,20,4733,6000,0.788833,0.788833,0.751142,0.826524,0.778284,0.799101
random2048,18,unique,20,6000,6000,1.000000,1.000000,1.000000,1.000000,0.999385,1.000000
random2048,24,combined,20,3721,6000,0.620167,0.620167,0.557883,0.682450,0.607747,0.632470
random2048,24,volume,20,3721,6000,0.620167,0.620167,0.557883,0.682450,0.607747,0.632470
random2048,24,entropy,20,5801,6000,0.966833,0.966833,0.953776,0.979890,0.961986,0.971220
random2048,24,unique,20,6000,6000,1.000000,1.000000,1.000000,1.000000,0.999385,1.000000
random2048,36,combined,20,5912,6000,0.985333,0.985333,0.971852,0.998814,0.981961,0.988221
random2048,36,volume,20,5912,6000,0.985333,0.985333,0.971852,0.998814,0.981961,0.988221
random2048,36,entropy,20,6000,6000,1.000000,1.000000,1.000000,1.000000,0.999385,1.000000
random2048,36,unique,20,6000,6000,1.000000,1.000000,1.000000,1.000000,0.999385,1.000000
random2048,60,combined,20,6000,6000,1.000000,1.000000,1.000000,1.000000,0.999385,1.000000
random2048,60,volume,20,6000,6000,1.000000,1.000000,1.000000,1.000000,0.999385,1.000000
random2048,60,entropy,20,6000,6000,1.000000,1.000000,1.000000,1.000000,0.999385,1.000000
random2048,60,unique,20,6000,6000,1.000000,1.000000,1.000000,1.000000,0.999385,1.000000
random2048,120,combined,20,6000,6000,1.000000,1.000000,1.000000,1.000000,0.999385,1.000000
random2048,120,volume,20,6000,6000,1.000000,1.000000,1.000000,1.000000,0.999385,1.000000
random2048,120,entropy,20,6000,6000,1.000000,1.000000,1.000000,1.000000,0.999385,1.000000
