level_samples_per_window,behavior,run_idx,seed,decisions,blocks_legacy,blocks_combined,blocks_volume,blocks_entropy,blocks_unique,fpr_legacy,fpr_combined,fpr_volume,fpr_entropy,fpr_unique,entropy_mean,entropy_p95,samples_mean,unique_ratio_mean
5,random2048,0,20760820,300,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.4524,3.3219,6.027,0.9977
5,random2048,1,20760821,300,300,0,0,1,300,1.000000,0.000000,0.000000,0.003333,1.000000,2.5095,3.3219,6.153,1.0000
5,random2048,2,20760822,300,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.3855,3.1699,5.567,1.0000
5,random2048,3,20760823,300,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.4027,3.3219,5.820,0.9975
5,random2048,4,20760824,300,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.3855,3.1699,5.580,1.0000
5,random2048,5,20760825,300,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.5607,3.4594,6.480,0.9983
5,random2048,6,20760826,300,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.4311,3.1699,5.823,0.9997
5,random2048,7,20760827,300,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.4126,3.1699,5.853,1.0000
5,random2048,8,20760828,300,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.5188,3.3219,6.177,1.0000
5,random2048,9,20760829,300,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.4692,3.4594,6.043,1.0000
5,random2048,10,20760830,300,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.3839,3.3219,5.620,1.0000
5,random2048,11,20760831,300,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.4032,3.1699,5.663,0.9921
5,random2048,12,20760832,300,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.5699,3.3219,6.303,1.0000
5,random2048,13,20760833,300,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.4281,3.3219,5.837,1.0000
5,random2048,14,20760834,300,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.5989,3.3219,6.393,0.9995
5,random2048,15,20760835,300,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.4295,3.1699,5.787,0.9996
5,random2048,16,20760836,300,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.4448,3.3219,5.840,1.0000
5,random2048,17,20760837,300,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.5562,3.4594,6.333,0.9997
5,random2048,18,20760838,300,300,0,0,0,298,1.000000,0.000000,0.000000,0.000000,0.993333,2.3621,3.3219,5.680,0.9915
5,random2048,19,20760839,300,300,0,0,0,298,1.000000,0.000000,0.000000,0.000000,0.993333,2.3627,3.0000,5.497,0.9972
