condition,level,seed,window_idx,samples,entropy,unique_ratio,block_combined,block_volume,block_entropy,block_unique
benign,60,26260994,0,54,5.7179,0.9815,1,1,1,1
benign,60,26260994,1,55,5.7450,0.9818,1,1,1,1
benign,60,26260994,2,56,5.7716,0.9821,1,1,1,1
benign,60,26260994,3,54,5.7179,0.9815,1,1,1,1
benign,60,26260994,4,55,5.7450,0.9818,1,1,1,1
benign,60,26260994,5,56,5.7716,0.9821,1,1,1,1
benign,60,26260994,6,57,5.7978,0.9825,1,1,1,1
benign,60,26260994,7,56,5.7716,0.9821,1,1,1,1
benign,60,26260994,8,56,5.7716,0.9821,1,1,1,1
benign,60,26260994,9,55,5.7450,0.9818,1,1,1,1
benign,60,26260994,10,56,5.7716,0.9821,1,1,1,1
benign,60,26260994,11,57,5.7978,0.9825,1,1,1,1
benign,60,26260994,12,56,5.7716,0.9821,1,1,1,1
benign,60,26260994,13,56,5.7716,0.9821,1,1,1,1
benign,60,26260994,14,57,5.7978,0.9825,1,1,1,1
benign,60,26260994,15,57,5.7978,0.9825,1,1,1,1
benign,60,26260994,16,58,5.8235,0.9828,1,1,1,1
benign,60,26260994,17,57,5.7978,0.9825,1,1,1,1
benign,60,26260994,18,57,5.7978,0.9825,1,1,1,1
benign,60,26260994,19,56,5.7716,0.9821,1,1,1,1
benign,60,26260994,20,52,5.6620,0.9808,1,1,1,1
benign,60,26260994,21,52,5.6620,0.9808,1,1,1,1
benign,60,26260994,22,53,5.6902,0.9811,1,1,1,1
benign,60,26260994,23,53,5.6902,0.9811,1,1,1,1
benign,60,26260994,24,53,5.6902,0.9811,1,1,1,1
benign,60,26260994,25,54,5.7179,0.9815,1,1,1,1
benign,60,26260994,26,53,5.6902,0.9811,1,1,1,1
benign,60,26260994,27,54,5.7179,0.9815,1,1,1,1
benign,60,26260994,28,55,5.7450,0.9818,1,1,1,1
benign,60,26260994,29,56,5.7716,0.9821,1,1,1,1
benign,60,26260994,30,57,5.7978,0.9825,1,1,1,1
benign,60,26260994,31,57,5.7978,0.9825,1,1,1,1
benign,60,26260994,32,57,5.8329,1.0000,1,1,1,1
benign,60,26260994,33,58,5.8580,1.0000,1,1,1,1
benign,60,26260994,34,59,5.8826,1.0000,1,1,1,1
benign,60,26260994,35,60,5.9069,1.0000,1,1,1,1
benign,60,26260994,36,60,5.9069,1.0000,1,1,1,1
benign,60,26260994,37,60,5.9069,1.0000,1,1,1,1
benign,60,26260994,38,60,5.9069,1.0000,1,1,1,1
benign,60,26260994,39,59,5.8826,1.0000,1,1,1,1
benign,60,26260994,40,60,5.9069,1.0000,1,1,1,1
benign,60,26260994,41,59,5.8826,1.0000,1,1,1,1
benign,60,26260994,42,60,5.9069,1.0000,1,1,1,1
benign,60,26260994,43,59,5.8487,0.9831,1,1,1,1
benign,60,26260994,44,60,5.8736,0.9833,1,1,1,1
benign,60,26260994,45,61,5.8980,0.9836,1,1,1,1
benign,60,26260994,46,62,5.9219,0.9839,1,1,1,1
benign,60,26260994,47,57,5.7978,0.9825,1,1,1,1
benign,60,26260994,48,56,5.7716,0.9821,1,1,1,1
benign,60,26260994,49,55,5.7814,1.0000,1,1,1,1
benign,60,26260994,50,56,5.8074,1.0000,1,1,1,1
benign,60,26260994,51,57,5.8329,1.0000,1,1,1,1
benign,60,26260994,52,58,5.8580,1.0000,1,1,1,1
benign,60,26260994,53,59,5.8826,1.0000,1,1,1,1
benign,60,26260994,54,60,5.9069,1.0000,1,1,1,1
benign,60,26260994,55,60,5.9069,1.0000,1,1,1,1
benign,60,26260994,56,61,5.9307,1.0000,1,1,1,1
benign,60,26260994,57,61,5.9307,1.0000,1,1,1,1
benign,60,26260994,58,60,5.9069,1.0000,1,1,1,1
benign,60,26260994,59,60,5.9069,1.0000,1,1,1,1
benign,60,26260994,60,61,5.9307,1.0000,1,1,1,1
benign,60,26260994,61,62,5.9542,1.0000,1,1,1,1
benign,60,26260994,62,60,5.9069,1.0000,1,1,1,1
benign,60,26260994,63,61,5.9307,1.0000,1,1,1,1
benign,60,26260994,64,62,5.9542,1.0000,1,1,1,1
benign,60,26260994,65,61,5.9307,1.0000,1,1,1,1
benign,60,26260994,66,61,5.9307,1.0000,1,1,1,1
benign,60,26260994,67,61,5.9307,1.0000,1,1,1,1
benign,60,26260994,68,62,5.9542,1.0000,1,1,1,1
benign,60,26260994,69,62,5.9542,1.0000,1,1,1,1
benign,60,26260994,70,63,5.9773,1.0000,1,1,1,1
benign,60,26260994,71,63,5.9773,1.0000,1,1,1,1
benign,60,26260994,72,64,6.0000,1.0000,1,1,1,1
benign,60,26260994,73,65,6.0224,1.0000,1,1,1,1
benign,60,26260994,74,66,6.0444,1.0000,1,1,1,1
benign,60,26260994,75,67,6.0661,1.0000,1,1,1,1
benign,60,26260994,76,68,6.0875,1.0000,1,1,1,1
benign,60,26260994,77,66,6.0444,1.0000,1,1,1,1
benign,60,26260994,78,67,6.0661,1.0000,1,1,1,1
benign,60,26260994,79,65,6.0224,1.0000,1,1,1,1
benign,60,26260994,80,66,6.0444,1.0000,1,1,1,1
benign,60,26260994,81,66,6.0444,1.0000,1,1,1,1
benign,60,26260994,82,66,6.0444,1.0000,1,1,1,1
benign,60,26260994,83,67,6.0661,1.0000,1,1,1,1
benign,60,26260994,84,66,6.0444,1.0000,1,1,1,1
benign,60,26260994,85,67,6.0661,1.0000,1,1,1,1
benign,60,26260994,86,68,6.0875,1.0000,1,1,1,1
benign,60,26260994,87,69,6.1085,1.0000,1,1,1,1
benign,60,26260994,88,69,6.1085,1.0000,1,1,1,1
benign,60,26260994,89,70,6.1293,1.0000,1,1,1,1
benign,60,26260994,90,71,6.1497,1.0000,1,1,1,1
benign,60,26260994,91,72,6.1699,1.0000,1,1,1,1
benign,60,26260994,92,72,6.1699,1.0000,1,1,1,1
benign,60,26260994,93,73,6.1898,1.0000,1,1,1,1
benign,60,26260994,94,74,6.2095,1.0000,1,1,1,1
benign,60,26260994,95,74,6.2095,1.0000,1,1,1,1
benign,60,26260994,96,74,6.2095,1.0000,1,1,1,1
benign,60,26260994,97,74,6.2095,1.0000,1,1,1,1
