split,profile,condition,role,level,pair_id,schedule_seed,query_seed,payload_seed,arrival_schedule_sha256,query_schedule_sha256,decisions,fragments_total,benign_fragments_total,attack_fragments_total,measurement_start_seconds,measurement_end_seconds,samples_mean,samples_p95,entropy_mean,unique_ratio_mean,blocks_legacy,blocks_combined,blocks_volume,blocks_entropy,blocks_unique,rate_legacy,rate_combined,rate_volume,rate_entropy,rate_unique,raw_file,raw_sha256
calibration,bursty,benign_bursty,benign,24,0,4639347248214153384,10955617663979575976,10328589402834722599,89d494263d206a0f44d3c6fdd2e2e7a347cd7a250b27e7699c7d617f01a0380e,32a23dd8f773b48249a22fb77c40a81d6519c00dac73b2681437b9233f280bf3,150,576,576,0,6.154271892487829,43.40427189248783,25.186666666666667,42.099999999999966,4.545581926488256,0.994419912687801,150,81,81,126,150,1.0,0.54,0.54,0.84,1.0,raw_runs/calibration/benign_bursty/level_24/pair_00.jsonl.gz,2271b36164201e6e42527516921e616617582ef54bef8dc2d1c536ab70dafaa6
calibration,bursty,benign_bursty,benign,24,1,5144653013124106122,2087096722690212531,12041893660834023887,2ce0d2b5cbb7e677aed8722f63db6909e61f37acaaa81b5202971eed2cef218b,47f338fbb52dce1d2e38c919017920584ae33ee652b14a771f858c49eaad9460,150,499,499,0,6.089194468599376,43.33919446859937,22.973333333333333,37.54999999999998,4.409091046510865,0.9919406450600686,150,67,67,116,150,1.0,0.44666666666666666,0.44666666666666666,0.7733333333333333,1.0,raw_runs/calibration/benign_bursty/level_24/pair_01.jsonl.gz,567e1e1ce92944bd93757726a20fd2a189e1f993394a17faec96649d3c839de9
calibration,bursty,benign_bursty,benign,24,2,17128380560582995228,17068362342282950830,5150769653838757423,20556fca9e1c3abc873164a40d027211fefe05885157ce93dbf694ffc23e33d2,bfdc50642643aed65b5d9f9d4da335a66f7e642903904982bf7989a1be24f69d,150,513,513,0,6.123644765415644,43.37364476541565,24.426666666666666,38.0,4.503111820368394,0.9928485036218658,150,81,81,122,150,1.0,0.54,0.54,0.8133333333333334,1.0,raw_runs/calibration/benign_bursty/level_24/pair_02.jsonl.gz,50eb1d6bdafaf425aa75551ed2e2108952049a43f0ebba169a192029d1601be8
calibration,bursty,benign_bursty,benign,24,3,9134571109027334264,3383211158514900336,2180020405072772108,d0d44092c61f6b5a9ca62a4abcabdce1deb4542969416e2301ca4460810d53ae,fa870ccc3e440abafdee75a8995258f4ecf43653f1305e565f5227137dce8cdb,150,462,462,0,6.131721869441461,43.38172186944146,22.093333333333334,36.54999999999998,4.3344690668663866,0.9909659624780287,150,60,60,111,150,1.0,0.4,0.4,0.74,1.0,raw_runs/calibration/benign_bursty/level_24/pair_03.jsonl.gz,0767270d57fed649a7ff3f614062550442ae85de4ceb5ae74b53c10a783e6161
calibration,bursty,benign_bursty,benign,24,4,881858630062861589,15596871933087481293,9394310618662435560,d64328bfbfb163745620ea3b58b22963a8b7fc430e09a0c0172374fa31e14226,bffff94c6595010627632587e985cd7568fd1864b749971f7de39e5af7acbecf,150,536,536,0,6.195249192307558,43.44524919230756,24.986666666666668,37.0,4.566458705794698,0.9988214285714285,150,83,83,133,150,1.0,0.5533333333333333,0.5533333333333333,0.8866666666666667,1.0,raw_runs/calibration/benign_bursty/level_24/pair_04.jsonl.gz,51b658b557d0b86d3c33dee515054f456e7baa944c738216a06768e75e38dbf8
calibration,bursty,benign_bursty,benign,24,5,8813645735851680996,7876064372487069723,5766916010013949353,77be85a18b41a97c202c49d9cdf250de15b9da0d86ff5134a94bba40dbbb5f79,d53f8808476610d699647ae7d9a456ae5dff202b13cb3176c1ae75c759866aa8,150,504,504,0,6.245146290606113,43.495146290606115,23.133333333333333,38.0,4.428858805113523,0.9971340048112751,150,65,65,119,150,1.0,0.43333333333333335,0.43333333333333335,0.7933333333333333,1.0,raw_runs/calibration/benign_bursty/level_24/pair_05.jsonl.gz,9a5b2da19ad8ed0fda017e291841b3053e7d6cff972d22c1e8370569c7a44e00
calibration,bursty,benign_bursty,benign,24,6,16450988029564330801,3148178103103781391,12886935041450253287,c76c58af2e22202b941f1c3edf6b296b862c1dbc76583ead8f5258747df31fc1,a51eeee6d4581d4a5d5f4ee37bb10e9e371c14c3c67483505d88e8d5f27278b5,150,514,514,0,6.0886973581614745,43.338697358161475,24.393333333333334,37.54999999999998,4.507010786331646,0.9919070015368745,150,81,81,127,150,1.0,0.54,0.54,0.8466666666666667,1.0,raw_runs/calibration/benign_bursty/level_24/pair_06.jsonl.gz,74a735eda4d902cbf8ad8127a18c283ad23f2c71e92f89dcab5bf69cc9f9fb7d
calibration,bursty,benign_bursty,benign,24,7,10436558862221912636,10779866620663370561,18038027353040387722,e02ab137a3b58656a29f246f2ce83cd16168d874139ad2877dcc58a6c7751f85,a33198bdf4d0a3599ad38988781acfbce609b246900412cfb6ecc785d64f9046,150,530,530,0,6.218726207878652,43.46872620787865,24.58,37.0,4.540332496709064,0.9998095238095239,150,82,82,129,150,1.0,0.5466666666666666,0.5466666666666666,0.86,1.0,raw_runs/calibration/benign_bursty/level_24/pair_07.jsonl.gz,5b70b97737e62f98ab77a44a59fb8f798cd4c68f2fabf016a0dcb842ec96ca1f
calibration,bursty,benign_bursty,benign,24,8,14491253036515472692,17687843615610548673,5703945832311465690,47c5de70b6cea6be22b33930510a1725be6c54ce8fe1cf5bed1f3e2bcb0016e8,7dc0b3001c16def9ea37c9a871be1811d6f965395a32f2b4c841a1d9c7a88b73,150,512,512,0,6.166207106504732,43.41620710650473,23.913333333333334,42.54999999999998,4.427176773102609,0.9866385706312815,150,71,71,113,150,1.0,0.47333333333333333,0.47333333333333333,0.7533333333333333,1.0,raw_runs/calibration/benign_bursty/level_24/pair_08.jsonl.gz,7690455dbc6290ede93f550935230b14eeb815e30b4d574bd60c7cb884164cbf
calibration,bursty,benign_bursty,benign,24,9,5305121391958987885,18021529853778432119,6614257685305091143,ccaabe3c34de5b3709870113aaf273cc6b5f61b16feaf0d5a3420acdd201f7ab,4783a00a8ad70aea25df1da75cbe12b6bf73dcd4fb33d3eb4398f97719bfbe5b,150,548,548,0,6.117895189030931,43.36789518903093,25.093333333333334,41.0,4.528105210741651,0.9882056609846457,150,81,81,129,150,1.0,0.54,0.54,0.86,1.0,raw_runs/calibration/benign_bursty/level_24/pair_09.jsonl.gz,c283a5667157737e220a9ff1a5a34b159c8388249f26293ad6a18db4212cd4c9
