scope,profile,attack_condition,benign_condition,level,metric,variant_or_feature,mean,ci95_lo,ci95_hi,ci90_lo,ci90_hi,n_pairs
test,continuous,attack_sweep_continuous,benign_continuous,24,benign_trigger,legacy,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,24,attack_alert,legacy,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,24,youden_j,legacy,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,24,benign_trigger,combined,0.5096666666666667,0.47165833333333324,0.5460083333333332,0.4779999999999999,0.5409999999999999,20
test,continuous,attack_sweep_continuous,benign_continuous,24,attack_alert,combined,0.5096666666666667,0.4703333333333334,0.545,0.47766666666666663,0.5403333333333333,20
test,continuous,attack_sweep_continuous,benign_continuous,24,youden_j,combined,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,24,benign_trigger,volume,0.5096666666666667,0.471,0.5456666666666665,0.4773333333333333,0.5400166666666668,20
test,continuous,attack_sweep_continuous,benign_continuous,24,attack_alert,volume,0.5096666666666667,0.4713333333333334,0.546,0.47798333333333326,0.5406666666666666,20
test,continuous,attack_sweep_continuous,benign_continuous,24,youden_j,volume,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,24,benign_trigger,entropy,0.9503333333333334,0.9373333333333331,0.9636666666666664,0.9393333333333332,0.9616666666666666,20
test,continuous,attack_sweep_continuous,benign_continuous,24,attack_alert,entropy,0.9526666666666668,0.9396666666666667,0.9653333333333333,0.9416666666666667,0.9633333333333333,20
test,continuous,attack_sweep_continuous,benign_continuous,24,youden_j,entropy,0.0023333333333333483,-0.0003333333333333299,0.005333333333333362,5.551115123125783e-18,0.005000000000000016,20
test,continuous,attack_sweep_continuous,benign_continuous,24,benign_trigger,unique,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,24,attack_alert,unique,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,24,youden_j,unique,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,24,delta_j_combined_minus_volume,combined-minus-volume,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,24,auprc_high_is_suspicious,volume,0.5,0.5,0.5,0.5,0.5,20
test,continuous,attack_sweep_continuous,benign_continuous,24,auprc_high_is_suspicious,entropy,0.513981687145164,0.5099921273719231,0.5181704401149002,0.5106006863501161,0.517469006585798,20
test,continuous,attack_sweep_continuous,benign_continuous,24,auprc_high_is_suspicious,unique_ratio,0.5301506460732665,0.522604558434268,0.5383037667539946,0.5237490304740483,0.5370789566110752,20
test,continuous,attack_sweep_continuous,benign_continuous,60,benign_trigger,legacy,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,60,attack_alert,legacy,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,60,youden_j,legacy,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,60,benign_trigger,combined,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,60,attack_alert,combined,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,60,youden_j,combined,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,60,benign_trigger,volume,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,60,attack_alert,volume,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,60,youden_j,volume,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,60,benign_trigger,entropy,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,60,attack_alert,entropy,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,60,youden_j,entropy,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,60,benign_trigger,unique,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,60,attack_alert,unique,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,60,youden_j,unique,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,60,delta_j_combined_minus_volume,combined-minus-volume,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,60,auprc_high_is_suspicious,volume,0.5,0.5,0.5,0.5,0.5,20
test,continuous,attack_sweep_continuous,benign_continuous,60,auprc_high_is_suspicious,entropy,0.5498855386698749,0.5438030294529111,0.5560629110487922,0.5447426046175602,0.5549763248167439,20
test,continuous,attack_sweep_continuous,benign_continuous,60,auprc_high_is_suspicious,unique_ratio,0.6655159788362206,0.6474245026282328,0.6837721609989897,0.6502538446181918,0.6810537937787517,20
test,continuous,attack_sweep_continuous,benign_continuous,120,benign_trigger,legacy,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,120,attack_alert,legacy,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,120,youden_j,legacy,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,120,benign_trigger,combined,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,120,attack_alert,combined,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,120,youden_j,combined,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,120,benign_trigger,volume,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,120,attack_alert,volume,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,120,youden_j,volume,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,120,benign_trigger,entropy,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,120,attack_alert,entropy,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,120,youden_j,entropy,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,120,benign_trigger,unique,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,120,attack_alert,unique,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,120,youden_j,unique,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,120,delta_j_combined_minus_volume,combined-minus-volume,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,120,auprc_high_is_suspicious,volume,0.5,0.5,0.5,0.5,0.5,20
test,continuous,attack_sweep_continuous,benign_continuous,120,auprc_high_is_suspicious,entropy,0.6176687519906685,0.6083100384007835,0.6280357296745546,0.6097339740069249,0.6263073741496352,20
test,continuous,attack_sweep_continuous,benign_continuous,120,auprc_high_is_suspicious,unique_ratio,0.887936427450204,0.8684075918226538,0.9059648661640795,0.8718679120488335,0.9030877764686684,20
test,continuous,attack_sweep_continuous,benign_continuous,200,benign_trigger,legacy,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,200,attack_alert,legacy,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,200,youden_j,legacy,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,200,benign_trigger,combined,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,200,attack_alert,combined,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,200,youden_j,combined,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,200,benign_trigger,volume,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,200,attack_alert,volume,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,200,youden_j,volume,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,200,benign_trigger,entropy,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,200,attack_alert,entropy,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,200,youden_j,entropy,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,200,benign_trigger,unique,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,200,attack_alert,unique,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,200,youden_j,unique,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,200,delta_j_combined_minus_volume,combined-minus-volume,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,200,auprc_high_is_suspicious,volume,0.5,0.5,0.5,0.5,0.5,20
test,continuous,attack_sweep_continuous,benign_continuous,200,auprc_high_is_suspicious,entropy,0.725785879982502,0.7142809301136476,0.7381241551064539,0.716017719581877,0.7358983927099173,20
test,continuous,attack_sweep_continuous,benign_continuous,200,auprc_high_is_suspicious,unique_ratio,0.9923220086262367,0.9898702433607105,0.99456440990969,0.9902443638104587,0.9942354912406338,20
test,continuous,attack_random_continuous,benign_continuous,24,benign_trigger,legacy,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_random_continuous,benign_continuous,24,attack_alert,legacy,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_random_continuous,benign_continuous,24,youden_j,legacy,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_random_continuous,benign_continuous,24,benign_trigger,combined,0.5096666666666667,0.4706583333333332,0.5453333333333333,0.47733333333333333,0.5403333333333333,20
test,continuous,attack_random_continuous,benign_continuous,24,attack_alert,combined,0.5096666666666667,0.472,0.5453333333333332,0.47800000000000004,0.5403333333333333,20
test,continuous,attack_random_continuous,benign_continuous,24,youden_j,combined,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_random_continuous,benign_continuous,24,benign_trigger,volume,0.5096666666666667,0.47133333333333327,0.5463333333333333,0.47733333333333333,0.5413333333333333,20
test,continuous,attack_random_continuous,benign_continuous,24,attack_alert,volume,0.5096666666666667,0.471,0.5449999999999999,0.4766666666666667,0.5396666666666666,20
test,continuous,attack_random_continuous,benign_continuous,24,youden_j,volume,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_random_continuous,benign_continuous,24,benign_trigger,entropy,0.9503333333333334,0.9366666666666668,0.9636666666666669,0.9389999999999998,0.9616666666666666,20
test,continuous,attack_random_continuous,benign_continuous,24,attack_alert,entropy,0.9520000000000002,0.9383333333333332,0.9649999999999999,0.9403333333333332,0.9630000000000001,20
test,continuous,attack_random_continuous,benign_continuous,24,youden_j,entropy,0.001666666666666683,-0.0013333333333333031,0.00533333333333334,-0.0006666666666666598,0.00466666666666668,20
