condition,level,variant,metric,rate_mean,ci_lo,ci_hi
benign,24,legacy,FPR,1.0000,1.0000,1.0000
benign,24,combined,FPR,0.6107,0.5384,0.6829
benign,24,volume,FPR,0.6107,0.5384,0.6829
benign,24,entropy,FPR,0.9663,0.9492,0.9835
benign,24,unique,FPR,1.0000,1.0000,1.0000
benign,60,legacy,FPR,1.0000,1.0000,1.0000
benign,60,combined,FPR,1.0000,1.0000,1.0000
benign,60,volume,FPR,1.0000,1.0000,1.0000
benign,60,entropy,FPR,1.0000,1.0000,1.0000
benign,60,unique,FPR,1.0000,1.0000,1.0000
benign,120,legacy,FPR,1.0000,1.0000,1.0000
benign,120,combined,FPR,1.0000,1.0000,1.0000
benign,120,volume,FPR,1.0000,1.0000,1.0000
benign,120,entropy,FPR,1.0000,1.0000,1.0000
benign,120,unique,FPR,1.0000,1.0000,1.0000
benign,200,legacy,FPR,1.0000,1.0000,1.0000
benign,200,combined,FPR,1.0000,1.0000,1.0000
benign,200,volume,FPR,1.0000,1.0000,1.0000
benign,200,entropy,FPR,1.0000,1.0000,1.0000
benign,200,unique,FPR,1.0000,1.0000,1.0000
attack_sweep,24,legacy,TPR,1.0000,1.0000,1.0000
attack_sweep,24,combined,TPR,0.5890,0.5005,0.6775
attack_sweep,24,volume,TPR,0.5890,0.5005,0.6775
attack_sweep,24,entropy,TPR,0.9623,0.9398,0.9849
attack_sweep,24,unique,TPR,1.0000,1.0000,1.0000
attack_sweep,60,legacy,TPR,1.0000,1.0000,1.0000
attack_sweep,60,combined,TPR,1.0000,1.0000,1.0000
attack_sweep,60,volume,TPR,1.0000,1.0000,1.0000
attack_sweep,60,entropy,TPR,1.0000,1.0000,1.0000
attack_sweep,60,unique,TPR,1.0000,1.0000,1.0000
attack_sweep,120,legacy,TPR,1.0000,1.0000,1.0000
attack_sweep,120,combined,TPR,1.0000,1.0000,1.0000
attack_sweep,120,volume,TPR,1.0000,1.0000,1.0000
attack_sweep,120,entropy,TPR,1.0000,1.0000,1.0000
attack_sweep,120,unique,TPR,1.0000,1.0000,1.0000
attack_sweep,200,legacy,TPR,1.0000,1.0000,1.0000
attack_sweep,200,combined,TPR,1.0000,1.0000,1.0000
attack_sweep,200,volume,TPR,1.0000,1.0000,1.0000
attack_sweep,200,entropy,TPR,1.0000,1.0000,1.0000
attack_sweep,200,unique,TPR,1.0000,1.0000,1.0000
attack_random,24,legacy,TPR,1.0000,1.0000,1.0000
attack_random,24,combined,TPR,0.5853,0.5117,0.6590
attack_random,24,volume,TPR,0.5853,0.5117,0.6590
attack_random,24,entropy,TPR,0.9813,0.9653,0.9974
attack_random,24,unique,TPR,1.0000,1.0000,1.0000
attack_random,60,legacy,TPR,1.0000,1.0000,1.0000
attack_random,60,combined,TPR,1.0000,1.0000,1.0000
attack_random,60,volume,TPR,1.0000,1.0000,1.0000
attack_random,60,entropy,TPR,1.0000,1.0000,1.0000
attack_random,60,unique,TPR,1.0000,1.0000,1.0000
attack_random,120,legacy,TPR,1.0000,1.0000,1.0000
attack_random,120,combined,TPR,1.0000,1.0000,1.0000
attack_random,120,volume,TPR,1.0000,1.0000,1.0000
attack_random,120,entropy,TPR,1.0000,1.0000,1.0000
attack_random,120,unique,TPR,1.0000,1.0000,1.0000
attack_random,200,legacy,TPR,1.0000,1.0000,1.0000
attack_random,200,combined,TPR,1.0000,1.0000,1.0000
attack_random,200,volume,TPR,1.0000,1.0000,1.0000
attack_random,200,entropy,TPR,1.0000,1.0000,1.0000
attack_random,200,unique,TPR,1.0000,1.0000,1.0000
attack_fixed,24,legacy,TPR,1.0000,1.0000,1.0000
attack_fixed,24,combined,TPR,0.0000,0.0000,0.0000
attack_fixed,24,volume,TPR,0.6057,0.5269,0.6844
attack_fixed,24,entropy,TPR,0.0000,0.0000,0.0000
attack_fixed,24,unique,TPR,0.0000,0.0000,0.0000
attack_fixed,60,legacy,TPR,1.0000,1.0000,1.0000
attack_fixed,60,combined,TPR,0.0000,0.0000,0.0000
attack_fixed,60,volume,TPR,1.0000,1.0000,1.0000
attack_fixed,60,entropy,TPR,0.0000,0.0000,0.0000
