condition,level,seed,window_idx,samples,entropy,unique_ratio,block_legacy,block_combined,block_volume,block_entropy,block_unique
benign,200,40261417,0,198,7.5789,0.9747,1,1,1,1,1
benign,200,40261417,1,199,7.5864,0.9749,1,1,1,1,1
benign,200,40261417,2,199,7.5864,0.9749,1,1,1,1,1
benign,200,40261417,3,200,7.5939,0.9750,1,1,1,1,1
benign,200,40261417,4,200,7.5939,0.9750,1,1,1,1,1
benign,200,40261417,5,200,7.5939,0.9750,1,1,1,1,1
benign,200,40261417,6,200,7.6039,0.9800,1,1,1,1,1
benign,200,40261417,7,201,7.6113,0.9801,1,1,1,1,1
benign,200,40261417,8,202,7.6186,0.9802,1,1,1,1,1
benign,200,40261417,9,202,7.6186,0.9802,1,1,1,1,1
benign,200,40261417,10,203,7.6259,0.9803,1,1,1,1,1
benign,200,40261417,11,204,7.6332,0.9804,1,1,1,1,1
benign,200,40261417,12,203,7.6259,0.9803,1,1,1,1,1
benign,200,40261417,13,201,7.6113,0.9801,1,1,1,1,1
benign,200,40261417,14,200,7.6039,0.9800,1,1,1,1,1
benign,200,40261417,15,200,7.6039,0.9800,1,1,1,1,1
benign,200,40261417,16,201,7.6113,0.9801,1,1,1,1,1
benign,200,40261417,17,202,7.6186,0.9802,1,1,1,1,1
benign,200,40261417,18,203,7.6259,0.9803,1,1,1,1,1
benign,200,40261417,19,203,7.6259,0.9803,1,1,1,1,1
benign,200,40261417,20,203,7.6259,0.9803,1,1,1,1,1
benign,200,40261417,21,203,7.6259,0.9803,1,1,1,1,1
benign,200,40261417,22,200,7.6039,0.9800,1,1,1,1,1
benign,200,40261417,23,195,7.5663,0.9795,1,1,1,1,1
benign,200,40261417,24,196,7.5739,0.9796,1,1,1,1,1
benign,200,40261417,25,197,7.5713,0.9746,1,1,1,1,1
benign,200,40261417,26,193,7.5406,0.9741,1,1,1,1,1
benign,200,40261417,27,194,7.5484,0.9742,1,1,1,1,1
benign,200,40261417,28,193,7.5406,0.9741,1,1,1,1,1
benign,200,40261417,29,191,7.5251,0.9738,1,1,1,1,1
benign,200,40261417,30,189,7.5199,0.9788,1,1,1,1,1
benign,200,40261417,31,186,7.4961,0.9785,1,1,1,1,1
benign,200,40261417,32,187,7.5041,0.9786,1,1,1,1,1
benign,200,40261417,33,188,7.5120,0.9787,1,1,1,1,1
