split,profile,condition,role,level,pair_id,schedule_seed,query_seed,payload_seed,arrival_schedule_sha256,query_schedule_sha256,decisions,fragments_total,benign_fragments_total,attack_fragments_total,measurement_start_seconds,measurement_end_seconds,samples_mean,samples_p95,entropy_mean,unique_ratio_mean,blocks_legacy,blocks_combined,blocks_volume,blocks_entropy,blocks_unique,rate_legacy,rate_combined,rate_volume,rate_entropy,rate_unique,raw_file,raw_sha256
calibration,bursty,benign_bursty,benign,24,0,4639347248214153384,10955617663979575976,10328589402834722599,1026425e51fe9720297b78bdf07c1e9b91cf81797d56563b625e789283d66a94,a85a33fdc68e3029a82e004afc4d7ff6a4641303545ab70c979f7f439329cda7,30,179,179,0,6.154271892487829,13.404271892487829,20.266666666666666,29.0,4.228670862812758,0.9923995621237001,30,11,11,20,30,1.0,0.36666666666666664,0.36666666666666664,0.6666666666666666,1.0,raw_runs/calibration/benign_bursty/level_24/pair_00.jsonl.gz,81cec8614fd4bbb163dfaf7962c15b738352ca4ee7b6921666c75310f9b791e7
calibration,bursty,benign_bursty,benign,24,1,5144653013124106122,2087096722690212531,12041893660834023887,90a730d5afa7bf4eaac3fc1bbc7f7d476f551a2babd9a1af62436845352f1fba,2186f90aeb6e49e706cb49ed5b639bff48109f1e2b2a85a9dacafc3d3bbfe6d3,30,164,164,0,6.089194468599376,13.339194468599377,24.0,41.64999999999999,4.478342774371029,0.9938986802894849,30,13,13,25,30,1.0,0.43333333333333335,0.43333333333333335,0.8333333333333334,1.0,raw_runs/calibration/benign_bursty/level_24/pair_01.jsonl.gz,7b2bca1da49cad9739ff79e9c81287ff52ffab317774c2ef2ffd755d91917cfb
calibration,bursty,benign_bursty,benign,24,2,17128380560582995228,17068362342282950830,5150769653838757423,34331f66db0cffa63fb509b0b19d18dff3d5b35ea5b4de3f4fda7a94a1685bc6,291c59a8fba48fc8206da4a92f4aa49f678ff690b0cc2bd4fbfae62efe803146,30,132,132,0,6.123644765415644,13.373644765415644,21.766666666666666,31.099999999999994,4.331653199054661,0.9958169934640523,30,15,15,20,30,1.0,0.5,0.5,0.6666666666666666,1.0,raw_runs/calibration/benign_bursty/level_24/pair_02.jsonl.gz,1f6661b0a736b03cb34fbb657fdab6c670cb7b41964fb156a2e9c96c7982fbb0
calibration,bursty,benign_bursty,benign,24,3,9134571109027334264,3383211158514900336,2180020405072772108,b95dc892263caefa9e6d80b3c9639698acc1ef409a295932e17658966275cfbf,b5ffbe4221dfdb2d2cb103880f9ec440a42c34825cbd936df6eddb96a5ac84b3,30,134,134,0,6.131721869441461,13.38172186944146,22.866666666666667,36.0,4.42183077243007,1.0,30,12,12,24,30,1.0,0.4,0.4,0.8,1.0,raw_runs/calibration/benign_bursty/level_24/pair_03.jsonl.gz,9abce7402b353540c191bbfc7f03272537bf6ed01412847c1f1ba035c70c0ea1
calibration,bursty,benign_bursty,benign,24,4,881858630062861589,15596871933087481293,9394310618662435560,05dc46c5f13d742ba503350be6fafcb747faea046f265dd0c82c64a7cd9f593b,f275bcdd18362561260bbbc29aeba3b09667046174049a8fa5ab456e3cd0fa7c,30,171,171,0,6.195249192307558,13.445249192307557,26.966666666666665,37.0,4.703504106303323,1.0,30,19,19,30,30,1.0,0.6333333333333333,0.6333333333333333,1.0,1.0,raw_runs/calibration/benign_bursty/level_24/pair_04.jsonl.gz,8867b66457d738146ef15b7cf9fdfdba83ecdb9f17243a18f7fe00590b745ac1
calibration,bursty,benign_bursty,benign,24,5,8813645735851680996,7876064372487069723,5766916010013949353,49d8d04dda93a9f8f6717d0125c849220c8c2bf2546c0e15d25bf80352deecaf,dfb8a2f553743b994f5a92c3d1649f38736d7fbc8461607432d8626ecb48ffdb,30,161,161,0,6.245146290606113,13.495146290606112,24.6,41.099999999999994,4.522721735404986,0.9952540803509581,30,16,16,26,30,1.0,0.5333333333333333,0.5333333333333333,0.8666666666666667,1.0,raw_runs/calibration/benign_bursty/level_24/pair_05.jsonl.gz,062cceb0c121ed4b4ac5f2d2257deed962b190d36f1cfab716a8e6aa62afcd75
calibration,bursty,benign_bursty,benign,24,6,16450988029564330801,3148178103103781391,12886935041450253287,e385871b4dda31c664837a289431885a9a7fa7dff7a9139ddf6e0fb79ea0ada8,9a79391ca6f1b16a2eba174ebef3638c7eee276d9b532a7bb023476253cc8136,30,140,140,0,6.0886973581614745,13.338697358161475,23.0,34.0,4.461140352695456,1.0,30,15,15,25,30,1.0,0.5,0.5,0.8333333333333334,1.0,raw_runs/calibration/benign_bursty/level_24/pair_06.jsonl.gz,3257a81d03fd322f1277100002312776f09cdf8a3bdce5d5df7b665a883559e6
calibration,bursty,benign_bursty,benign,24,7,10436558862221912636,10779866620663370561,18038027353040387722,5e1ce00a790501829db5ff0c643a2b2dd3185aa87ceda9970e5a172303b025f2,37ce50518baf1b531d7e2cf2426f55748a2e7e776d991286b46c827bcbd410b4,30,163,163,0,6.218726207878652,13.468726207878653,24.866666666666667,33.55,4.568065774499392,1.0,30,18,18,26,30,1.0,0.6,0.6,0.8666666666666667,1.0,raw_runs/calibration/benign_bursty/level_24/pair_07.jsonl.gz,680dcf5761676ad8a4aced7868096315a47595090a9bfd11a371afe6956b6888
calibration,bursty,benign_bursty,benign,24,8,14491253036515472692,17687843615610548673,5703945832311465690,eb8edee90d67ac93ef87743687fbac72d4b80acfc1b3c857a4da02860fad2a81,6864e133739ed4863629655f0e143ec2be6c3766c8e5e42352039bd6c6baa2af,30,148,148,0,6.166207106504732,13.416207106504732,22.866666666666667,36.0,4.3122142240306705,0.9795469260588692,30,18,18,22,30,1.0,0.6,0.6,0.7333333333333333,1.0,raw_runs/calibration/benign_bursty/level_24/pair_08.jsonl.gz,44e649be66a136d8a125462addb045430f7b0a41fb67f7d08b2de5e65afa61b4
calibration,bursty,benign_bursty,benign,24,9,5305121391958987885,18021529853778432119,6614257685305091143,29b4454c3f145a18374f0018dd4cc0f1978e27a44f5689bc705bd7539763b9f4,bbdaf3e52c85472faaabd1f7faf09bf8ca47c1ff55c7f92af3ebb2447ae83181,30,166,166,0,6.117895189030931,13.367895189030932,23.6,36.55,4.411318583810829,0.9729237769678944,30,15,15,23,30,1.0,0.5,0.5,0.7666666666666667,1.0,raw_runs/calibration/benign_bursty/level_24/pair_09.jsonl.gz,a8f1cd5ec096c0ecc1d8c6dd2c56f46695b199d546bcb9e8719ab3427a9cf665
