scope,profile,attack_condition,benign_condition,level,metric,variant_or_feature,mean,ci95_lo,ci95_hi,ci90_lo,ci90_hi,n_pairs
test,continuous,attack_sweep_continuous,benign_continuous,24,benign_trigger,legacy,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,24,attack_alert,legacy,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,24,youden_j,legacy,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,24,benign_trigger,combined,0.5050000000000001,0.4083333333333334,0.6017083333333327,0.4266666666666666,0.5866666666666667,20
test,continuous,attack_sweep_continuous,benign_continuous,24,attack_alert,combined,0.5050000000000001,0.4083333333333333,0.605,0.42333333333333323,0.585,20
test,continuous,attack_sweep_continuous,benign_continuous,24,youden_j,combined,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,24,benign_trigger,volume,0.5050000000000001,0.41,0.6033333333333333,0.425,0.5866666666666667,20
test,continuous,attack_sweep_continuous,benign_continuous,24,attack_alert,volume,0.5050000000000001,0.4083333333333333,0.600041666666666,0.42333333333333334,0.585,20
test,continuous,attack_sweep_continuous,benign_continuous,24,youden_j,volume,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,24,benign_trigger,entropy,0.9683333333333334,0.9433333333333334,0.99,0.9483333333333333,0.9866666666666667,20
test,continuous,attack_sweep_continuous,benign_continuous,24,attack_alert,entropy,0.9716666666666667,0.948333333333333,0.9916666666666666,0.9516666666666665,0.9883333333333333,20
test,continuous,attack_sweep_continuous,benign_continuous,24,youden_j,entropy,0.0033333333333333327,0.0,0.009999999999999998,0.0,0.009999999999999998,20
test,continuous,attack_sweep_continuous,benign_continuous,24,benign_trigger,unique,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,24,attack_alert,unique,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,24,youden_j,unique,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,24,delta_j_combined_minus_volume,combined-minus-volume,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,24,auprc_high_is_suspicious,volume,0.5,0.5,0.5,0.5,0.5,20
test,continuous,attack_sweep_continuous,benign_continuous,24,auprc_high_is_suspicious,entropy,0.5252390935763512,0.5116224425282241,0.5407817178276154,0.5135424565023192,0.5381652135542568,20
test,continuous,attack_sweep_continuous,benign_continuous,24,auprc_high_is_suspicious,unique_ratio,0.5375373886779278,0.5218421367449885,0.5544369584314829,0.5244339597431863,0.5516931665367997,20
test,continuous,attack_sweep_continuous,benign_continuous,60,benign_trigger,legacy,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,60,attack_alert,legacy,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,60,youden_j,legacy,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,60,benign_trigger,combined,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,60,attack_alert,combined,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,60,youden_j,combined,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,60,benign_trigger,volume,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,60,attack_alert,volume,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,60,youden_j,volume,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,60,benign_trigger,entropy,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,60,attack_alert,entropy,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,60,youden_j,entropy,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,60,benign_trigger,unique,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,60,attack_alert,unique,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,60,youden_j,unique,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,60,delta_j_combined_minus_volume,combined-minus-volume,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,60,auprc_high_is_suspicious,volume,0.5,0.5,0.5,0.5,0.5,20
test,continuous,attack_sweep_continuous,benign_continuous,60,auprc_high_is_suspicious,entropy,0.5836970530028599,0.5666737378223253,0.6010274893296905,0.5696202666472178,0.5981082239944969,20
test,continuous,attack_sweep_continuous,benign_continuous,60,auprc_high_is_suspicious,unique_ratio,0.6859619140069695,0.6576240391419786,0.7172449859722253,0.6615481469112585,0.7123655119438655,20
test,continuous,attack_sweep_continuous,benign_continuous,120,benign_trigger,legacy,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,120,attack_alert,legacy,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,120,youden_j,legacy,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,120,benign_trigger,combined,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,120,attack_alert,combined,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,120,youden_j,combined,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,120,benign_trigger,volume,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,120,attack_alert,volume,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,120,youden_j,volume,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,120,benign_trigger,entropy,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,120,attack_alert,entropy,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,120,youden_j,entropy,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,120,benign_trigger,unique,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,120,attack_alert,unique,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,120,youden_j,unique,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,120,delta_j_combined_minus_volume,combined-minus-volume,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,120,auprc_high_is_suspicious,volume,0.5,0.5,0.5,0.5,0.5,20
test,continuous,attack_sweep_continuous,benign_continuous,120,auprc_high_is_suspicious,entropy,0.672651318342362,0.647499109456014,0.6988995820727819,0.6514354486223983,0.6943733316595805,20
test,continuous,attack_sweep_continuous,benign_continuous,120,auprc_high_is_suspicious,unique_ratio,0.9203304882721897,0.8761487536401769,0.9532164856858141,0.8847167069393763,0.9490155574250594,20
test,continuous,attack_sweep_continuous,benign_continuous,200,benign_trigger,legacy,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,200,attack_alert,legacy,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,200,youden_j,legacy,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,200,benign_trigger,combined,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,200,attack_alert,combined,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,200,youden_j,combined,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,200,benign_trigger,volume,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,200,attack_alert,volume,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,200,youden_j,volume,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,200,benign_trigger,entropy,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,200,attack_alert,entropy,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,200,youden_j,entropy,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,200,benign_trigger,unique,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,200,attack_alert,unique,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_sweep_continuous,benign_continuous,200,youden_j,unique,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,200,delta_j_combined_minus_volume,combined-minus-volume,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_sweep_continuous,benign_continuous,200,auprc_high_is_suspicious,volume,0.5,0.5,0.5,0.5,0.5,20
test,continuous,attack_sweep_continuous,benign_continuous,200,auprc_high_is_suspicious,entropy,0.7727827449016298,0.7365644795557666,0.8106434065502273,0.742152711945518,0.804486024844399,20
test,continuous,attack_sweep_continuous,benign_continuous,200,auprc_high_is_suspicious,unique_ratio,0.9910054483518745,0.9818045432971301,0.997890974696499,0.9836213150581349,0.9971497913826954,20
test,continuous,attack_random_continuous,benign_continuous,24,benign_trigger,legacy,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_random_continuous,benign_continuous,24,attack_alert,legacy,1.0,1.0,1.0,1.0,1.0,20
test,continuous,attack_random_continuous,benign_continuous,24,youden_j,legacy,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_random_continuous,benign_continuous,24,benign_trigger,combined,0.5050000000000001,0.4083333333333333,0.6016666666666667,0.4249166666666666,0.585,20
test,continuous,attack_random_continuous,benign_continuous,24,attack_alert,combined,0.5050000000000001,0.41,0.6000000000000001,0.425,0.585,20
test,continuous,attack_random_continuous,benign_continuous,24,youden_j,combined,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_random_continuous,benign_continuous,24,benign_trigger,volume,0.5050000000000001,0.41,0.6033333333333333,0.42666666666666664,0.5866666666666667,20
test,continuous,attack_random_continuous,benign_continuous,24,attack_alert,volume,0.5050000000000001,0.4083333333333333,0.6033333333333333,0.4216666666666667,0.5866666666666667,20
test,continuous,attack_random_continuous,benign_continuous,24,youden_j,volume,0.0,0.0,0.0,0.0,0.0,20
test,continuous,attack_random_continuous,benign_continuous,24,benign_trigger,entropy,0.9683333333333334,0.9433333333333331,0.99,0.9466666666666667,0.9866666666666667,20
test,continuous,attack_random_continuous,benign_continuous,24,attack_alert,entropy,0.9716666666666667,0.9466666666666667,0.9916666666666666,0.9516666666666665,0.9883333333333333,20
test,continuous,attack_random_continuous,benign_continuous,24,youden_j,entropy,0.0033333333333333327,0.0,0.009999999999999998,0.0,0.009999999999999998,20
test,continuous,attack_random_continuous,benign_continuous,24,benign_trigger,unique,1.0,1.0,1.0,1.0,1.0,20
