min_samples,entropy_threshold,unique_ratio_threshold,entropy_implied_min_samples,min_samples_gate_redundant,selected_locked_candidate,validation_attack_alert_rate,validation_benign_trigger_rate,validation_J,validation_delta_J_vs_B2,primary_equivalence_class,primary_equivalence_class_size,all_validation_equivalence_class,all_validation_equivalence_class_size
8,2.0,0.5,4,False,False,0.9990277777777777,0.9990277777777777,0.0,0.0,P001,4,A001,1
8,2.0,0.7,4,False,False,0.9990277777777777,0.9990277777777777,0.0,0.0,P001,4,A002,2
8,2.0,0.9,4,False,False,0.9990277777777777,0.9988888888888889,0.00013888888888888978,0.00013888888888888978,P002,2,A003,2
8,3.0,0.5,8,True,False,0.9990277777777777,0.9990277777777777,0.0,0.0,P001,4,A004,1
8,3.0,0.7,8,True,False,0.9990277777777777,0.9990277777777777,0.0,0.0,P001,4,A002,2
8,3.0,0.9,8,True,False,0.9990277777777777,0.9988888888888889,0.00013888888888888978,0.00013888888888888978,P002,2,A003,2
8,4.0,0.5,16,True,False,0.97,0.9691666666666667,0.0008333333333333387,0.0008333333333333387,P003,4,A005,2
8,4.0,0.7,16,True,False,0.97,0.9691666666666667,0.0008333333333333387,0.0008333333333333387,P003,4,A006,2
8,4.0,0.9,16,True,False,0.97,0.9690277777777778,0.0009722222222222285,0.0009722222222222285,P004,2,A007,2
8,5.0,0.5,32,True,False,0.7794444444444445,0.77625,0.003194444444444442,0.003194444444444442,P005,6,A008,3
8,5.0,0.7,32,True,False,0.7794444444444445,0.77625,0.003194444444444442,0.003194444444444442,P005,6,A009,3
8,5.0,0.9,32,True,False,0.7794444444444445,0.7761111111111111,0.003333333333333332,0.003333333333333332,P006,3,A010,3
8,6.0,0.5,64,True,False,0.5911111111111111,0.5815277777777778,0.00958333333333333,0.00958333333333333,P007,8,A011,4
8,6.0,0.7,64,True,False,0.5911111111111111,0.5815277777777778,0.00958333333333333,0.00958333333333333,P007,8,A012,4
8,6.0,0.9,64,True,True,0.5911111111111111,0.5813888888888888,0.00972222222222222,0.00972222222222222,P008,4,A013,4
16,2.0,0.5,4,False,False,0.9704166666666667,0.9704166666666667,0.0,0.0,P009,4,A014,2
16,2.0,0.7,4,False,False,0.9704166666666667,0.9704166666666667,0.0,0.0,P009,4,A015,2
16,2.0,0.9,4,False,False,0.9704166666666667,0.9702777777777778,0.00013888888888888978,0.00013888888888888978,P010,2,A016,2
16,3.0,0.5,8,False,False,0.9704166666666667,0.9704166666666667,0.0,0.0,P009,4,A014,2
16,3.0,0.7,8,False,False,0.9704166666666667,0.9704166666666667,0.0,0.0,P009,4,A015,2
16,3.0,0.9,8,False,False,0.9704166666666667,0.9702777777777778,0.00013888888888888978,0.00013888888888888978,P010,2,A016,2
16,4.0,0.5,16,True,False,0.97,0.9691666666666667,0.0008333333333333387,0.0008333333333333387,P003,4,A005,2
16,4.0,0.7,16,True,False,0.97,0.9691666666666667,0.0008333333333333387,0.0008333333333333387,P003,4,A006,2
16,4.0,0.9,16,True,False,0.97,0.9690277777777778,0.0009722222222222285,0.0009722222222222285,P004,2,A007,2
16,5.0,0.5,32,True,False,0.7794444444444445,0.77625,0.003194444444444442,0.003194444444444442,P005,6,A008,3
16,5.0,0.7,32,True,False,0.7794444444444445,0.77625,0.003194444444444442,0.003194444444444442,P005,6,A009,3
16,5.0,0.9,32,True,False,0.7794444444444445,0.7761111111111111,0.003333333333333332,0.003333333333333332,P006,3,A010,3
16,6.0,0.5,64,True,False,0.5911111111111111,0.5815277777777778,0.00958333333333333,0.00958333333333333,P007,8,A011,4
16,6.0,0.7,64,True,False,0.5911111111111111,0.5815277777777778,0.00958333333333333,0.00958333333333333,P007,8,A012,4
16,6.0,0.9,64,True,False,0.5911111111111111,0.5813888888888888,0.00972222222222222,0.00972222222222222,P008,4,A013,4
24,2.0,0.5,4,False,False,0.8770833333333333,0.8770833333333333,0.0,0.0,P011,6,A017,2
24,2.0,0.7,4,False,False,0.8770833333333333,0.8770833333333333,0.0,0.0,P011,6,A018,3
24,2.0,0.9,4,False,False,0.8770833333333333,0.8769444444444444,0.00013888888888888978,0.00013888888888888978,P012,3,A019,3
24,3.0,0.5,8,False,False,0.8770833333333333,0.8770833333333333,0.0,0.0,P011,6,A017,2
24,3.0,0.7,8,False,False,0.8770833333333333,0.8770833333333333,0.0,0.0,P011,6,A018,3
24,3.0,0.9,8,False,False,0.8770833333333333,0.8769444444444444,0.00013888888888888978,0.00013888888888888978,P012,3,A019,3
24,4.0,0.5,16,False,False,0.8770833333333333,0.8770833333333333,0.0,0.0,P011,6,A020,1
24,4.0,0.7,16,False,False,0.8770833333333333,0.8770833333333333,0.0,0.0,P011,6,A018,3
24,4.0,0.9,16,False,False,0.8770833333333333,0.8769444444444444,0.00013888888888888978,0.00013888888888888978,P012,3,A019,3
24,5.0,0.5,32,True,False,0.7794444444444445,0.77625,0.003194444444444442,0.003194444444444442,P005,6,A008,3
24,5.0,0.7,32,True,False,0.7794444444444445,0.77625,0.003194444444444442,0.003194444444444442,P005,6,A009,3
24,5.0,0.9,32,True,False,0.7794444444444445,0.7761111111111111,0.003333333333333332,0.003333333333333332,P006,3,A010,3
24,6.0,0.5,64,True,False,0.5911111111111111,0.5815277777777778,0.00958333333333333,0.00958333333333333,P007,8,A011,4
24,6.0,0.7,64,True,False,0.5911111111111111,0.5815277777777778,0.00958333333333333,0.00958333333333333,P007,8,A012,4
24,6.0,0.9,64,True,False,0.5911111111111111,0.5813888888888888,0.00972222222222222,0.00972222222222222,P008,4,A013,4
48,2.0,0.5,4,False,False,0.7068055555555556,0.7068055555555556,0.0,0.0,P013,8,A021,3
48,2.0,0.7,4,False,False,0.7068055555555556,0.7068055555555556,0.0,0.0,P013,8,A022,4
48,2.0,0.9,4,False,False,0.7068055555555556,0.7066666666666667,0.00013888888888888978,0.00013888888888888978,P014,4,A023,4
48,3.0,0.5,8,False,False,0.7068055555555556,0.7068055555555556,0.0,0.0,P013,8,A021,3
48,3.0,0.7,8,False,False,0.7068055555555556,0.7068055555555556,0.0,0.0,P013,8,A022,4
48,3.0,0.9,8,False,False,0.7068055555555556,0.7066666666666667,0.00013888888888888978,0.00013888888888888978,P014,4,A023,4
