e3_split,source_e2_split,profile,level,condition,role,paired_traces,decision_rows,samples_min,samples_median,samples_mean,samples_p95,samples_max,fraction_samples_ge_64,fraction_entropy_ge_6,fraction_unique_ratio_ge_0_90,fraction_locked_trigger
validation,calibration,bursty,120,benign_bursty,benign,2,300,53.0,122.5,121.33666666666667,178.10000000000002,202.0,0.9633333333333334,0.95,1.0,0.95
validation,calibration,bursty,200,benign_bursty,benign,2,300,93.0,198.5,200.04333333333332,286.15000000000003,332.0,1.0,1.0,1.0,1.0
validation,calibration,bursty,24,benign_bursty,benign,2,300,8.0,23.0,24.08,40.0,48.0,0.0,0.0,1.0,0.0
validation,calibration,bursty,60,benign_bursty,benign,2,300,23.0,59.0,59.876666666666665,91.0,107.0,0.43,0.4033333333333333,1.0,0.4033333333333333
validation,calibration,continuous,120,benign_continuous,benign,2,300,87.0,118.0,118.78,137.0,152.0,1.0,1.0,1.0,1.0
validation,calibration,continuous,200,benign_continuous,benign,2,300,173.0,197.0,197.70666666666668,221.05,240.0,1.0,1.0,1.0,1.0
validation,calibration,continuous,24,benign_continuous,benign,2,300,12.0,23.0,23.30666666666667,31.0,38.0,0.0,0.0,1.0,0.0
validation,calibration,continuous,60,benign_continuous,benign,2,300,34.0,59.0,59.73,74.0,82.0,0.32,0.22333333333333333,1.0,0.22333333333333333
validation,test,bursty,120,attack_sweep_bursty,attack,4,600,57.0,121.0,120.95666666666666,173.0,192.0,0.995,0.995,1.0,0.995
validation,test,bursty,120,benign_bursty,benign,4,600,57.0,121.0,120.95666666666666,173.0,192.0,0.995,0.985,1.0,0.985
validation,test,bursty,200,attack_sweep_bursty,attack,4,600,86.0,194.0,196.265,284.0,306.0,1.0,1.0,1.0,1.0
validation,test,bursty,200,benign_bursty,benign,4,600,86.0,194.0,196.265,284.0,306.0,1.0,1.0,0.9983333333333333,0.9983333333333333
validation,test,bursty,24,attack_sweep_bursty,attack,4,600,2.0,23.0,23.776666666666667,38.0,52.0,0.0,0.0,1.0,0.0
validation,test,bursty,24,benign_bursty,benign,4,600,2.0,23.0,23.776666666666667,38.0,52.0,0.0,0.0,1.0,0.0
validation,test,bursty,60,attack_sweep_bursty,attack,4,600,24.0,60.0,60.59,89.0,109.0,0.455,0.445,1.0,0.445
validation,test,bursty,60,benign_bursty,benign,4,600,24.0,60.0,60.59,89.0,109.0,0.455,0.4266666666666667,1.0,0.4266666666666667
validation,test,continuous,120,attack_dup_sweep_continuous,attack,4,600,92.0,117.0,117.80666666666667,134.0,140.0,1.0,0.4216666666666667,0.0,0.0
validation,test,continuous,120,attack_fixed_continuous,attack,4,600,92.0,117.0,117.80666666666667,134.0,140.0,1.0,0.0,0.0,0.0
validation,test,continuous,120,attack_random_continuous,attack,4,600,92.0,117.0,117.80666666666667,134.0,140.0,1.0,1.0,1.0,1.0
validation,test,continuous,120,attack_sweep_continuous,attack,4,600,92.0,117.0,117.80666666666667,134.0,140.0,1.0,1.0,1.0,1.0
