e3_split,source_e2_split,profile,level,condition,role,paired_traces,decision_rows,samples_min,samples_median,samples_mean,samples_p95,samples_max,fraction_samples_ge_64,fraction_entropy_ge_6,fraction_unique_ratio_ge_0_90,fraction_locked_trigger
validation,matched_primary,bursty,120,attack_sweep_bursty,attack,6,900,54.0,122.0,120.99333333333334,174.0,192.0,0.9911111111111112,0.9877777777777778,1.0,0.9877777777777778
validation,matched_primary,bursty,120,benign_bursty,benign,6,900,54.0,122.0,120.99333333333334,174.0,192.0,0.9911111111111112,0.9822222222222222,1.0,0.9822222222222222
validation,matched_primary,bursty,200,attack_sweep_bursty,attack,6,900,86.0,198.5,198.50222222222223,287.0,306.0,1.0,1.0,1.0,1.0
validation,matched_primary,bursty,200,benign_bursty,benign,6,900,86.0,198.5,198.50222222222223,287.0,306.0,1.0,1.0,0.9988888888888889,0.9988888888888889
validation,matched_primary,bursty,24,attack_sweep_bursty,attack,6,900,2.0,23.0,23.87,38.0,52.0,0.0,0.0,1.0,0.0
validation,matched_primary,bursty,24,benign_bursty,benign,6,900,2.0,23.0,23.87,38.0,52.0,0.0,0.0,1.0,0.0
validation,matched_primary,bursty,60,attack_sweep_bursty,attack,6,900,24.0,59.0,59.88333333333333,88.04999999999995,109.0,0.4444444444444444,0.43666666666666665,1.0,0.43666666666666665
validation,matched_primary,bursty,60,benign_bursty,benign,6,900,24.0,59.0,59.88333333333333,88.04999999999995,109.0,0.4444444444444444,0.41555555555555557,1.0,0.41555555555555557
validation,matched_primary,continuous,120,attack_sweep_continuous,attack,6,900,92.0,119.0,118.96888888888888,135.0,147.0,1.0,1.0,1.0,1.0
validation,matched_primary,continuous,120,benign_continuous,benign,6,900,92.0,119.0,118.96888888888888,135.0,147.0,1.0,1.0,1.0,1.0
validation,matched_primary,continuous,200,attack_sweep_continuous,attack,6,900,163.0,202.0,202.35111111111112,226.0,244.0,1.0,1.0,1.0,1.0
validation,matched_primary,continuous,200,benign_continuous,benign,6,900,163.0,202.0,202.35111111111112,226.0,244.0,1.0,1.0,1.0,1.0
validation,matched_primary,continuous,24,attack_sweep_continuous,attack,6,900,11.0,24.0,23.895555555555557,32.049999999999955,40.0,0.0,0.0,1.0,0.0
validation,matched_primary,continuous,24,benign_continuous,benign,6,900,11.0,24.0,23.895555555555557,32.049999999999955,40.0,0.0,0.0,1.0,0.0
validation,matched_primary,continuous,60,attack_sweep_continuous,attack,6,900,41.0,60.0,60.093333333333334,73.04999999999995,84.0,0.3188888888888889,0.30444444444444446,1.0,0.30444444444444446
validation,matched_primary,continuous,60,benign_continuous,benign,6,900,41.0,60.0,60.093333333333334,73.04999999999995,84.0,0.3188888888888889,0.2544444444444444,1.0,0.2544444444444444
held_out_test,matched_primary,bursty,120,attack_sweep_bursty,attack,6,900,56.0,123.0,121.96222222222222,176.0,196.0,0.9822222222222222,0.9811111111111112,1.0,0.9811111111111112
held_out_test,matched_primary,bursty,120,benign_bursty,benign,6,900,56.0,123.0,121.96222222222222,176.0,196.0,0.9822222222222222,0.9744444444444444,1.0,0.9744444444444444
held_out_test,matched_primary,bursty,200,attack_sweep_bursty,attack,6,900,96.0,198.0,199.74555555555557,285.0,318.0,1.0,1.0,1.0,1.0
held_out_test,matched_primary,bursty,200,benign_bursty,benign,6,900,96.0,198.0,199.74555555555557,285.0,318.0,1.0,1.0,0.9944444444444445,0.9944444444444445
held_out_test,matched_primary,bursty,24,attack_sweep_bursty,attack,6,900,7.0,23.0,23.5,38.0,51.0,0.0,0.0,1.0,0.0
held_out_test,matched_primary,bursty,24,benign_bursty,benign,6,900,7.0,23.0,23.5,38.0,51.0,0.0,0.0,1.0,0.0
held_out_test,matched_primary,bursty,60,attack_sweep_bursty,attack,6,900,21.0,59.0,59.77333333333333,88.0,104.0,0.43333333333333335,0.43222222222222223,1.0,0.43222222222222223
held_out_test,matched_primary,bursty,60,benign_bursty,benign,6,900,21.0,59.0,59.77333333333333,88.0,104.0,0.43333333333333335,0.4066666666666667,1.0,0.4066666666666667
held_out_test,matched_primary,continuous,120,attack_sweep_continuous,attack,6,900,81.0,119.0,119.21777777777778,136.0,148.0,1.0,1.0,1.0,1.0
held_out_test,matched_primary,continuous,120,benign_continuous,benign,6,900,81.0,119.0,119.21777777777778,136.0,148.0,1.0,1.0,1.0,1.0
held_out_test,matched_primary,continuous,200,attack_sweep_continuous,attack,6,900,165.0,201.0,201.26333333333332,226.0,244.0,1.0,1.0,1.0,1.0
held_out_test,matched_primary,continuous,200,benign_continuous,benign,6,900,165.0,201.0,201.26333333333332,226.0,244.0,1.0,1.0,0.9988888888888889,0.9988888888888889
held_out_test,matched_primary,continuous,24,attack_sweep_continuous,attack,6,900,9.0,23.0,23.824444444444445,33.0,42.0,0.0,0.0,1.0,0.0
held_out_test,matched_primary,continuous,24,benign_continuous,benign,6,900,9.0,23.0,23.824444444444445,33.0,42.0,0.0,0.0,1.0,0.0
held_out_test,matched_primary,continuous,60,attack_sweep_continuous,attack,6,900,38.0,60.0,60.25111111111111,73.0,81.0,0.33,0.31666666666666665,1.0,0.31666666666666665
held_out_test,matched_primary,continuous,60,benign_continuous,benign,6,900,38.0,60.0,60.25111111111111,73.0,81.0,0.33,0.2688888888888889,1.0,0.2688888888888889
