round	qname	trigger_ms	bank_ms	bank_ip	trigger_status	trigger_rc	bank_rc
1	u18837.example.net	100.000	130.000	6.6.6.6	answer	0	0
2	u28837.example.net	50.000	30.000	6.6.6.6	answer	0	0
3	u38837.example.net	30.000	10.000	6.6.6.6	answer	0	0
4	u48837.example.net	50.000	20.000	6.6.6.6	answer	0	0
5	u58837.example.net	50.000	20.000	6.6.6.6	answer	0	0
6	u68837.example.net	40.000	10.000	6.6.6.6	answer	0	0
7	u78837.example.net	40.000	20.000	6.6.6.6	answer	0	0
8	u88837.example.net	20.000	20.000	6.6.6.6	answer	0	0
9	u98837.example.net	30.000	10.000	6.6.6.6	answer	0	0
10	u108837.example.net	50.000	10.000	6.6.6.6	answer	0	0
11	u118837.example.net	40.000	10.000	6.6.6.6	answer	0	0
12	u128837.example.net	40.000	30.000	6.6.6.6	answer	0	0
13	u138837.example.net	50.000	20.000	6.6.6.6	answer	0	0
14	u148837.example.net	40.000	20.000	6.6.6.6	answer	0	0
15	u158837.example.net	50.000	10.000	6.6.6.6	answer	0	0
16	u168837.example.net	40.000	20.000	6.6.6.6	answer	0	0
17	u178837.example.net	60.000	20.000	6.6.6.6	answer	0	0
18	u188837.example.net	50.000	20.000	6.6.6.6	answer	0	0
19	u198837.example.net	50.000	20.000	6.6.6.6	answer	0	0
20	u208837.example.net	50.000	20.000	6.6.6.6	answer	0	0
21	u218837.example.net	50.000	20.000	6.6.6.6	answer	0	0
22	u228837.example.net	60.000	10.000	6.6.6.6	answer	0	0
23	u238837.example.net	50.000	30.000	6.6.6.6	answer	0	0
24	u248837.example.net	50.000	20.000	6.6.6.6	answer	0	0
25	u258837.example.net	40.000	10.000	6.6.6.6	answer	0	0
26	u268837.example.net	40.000	10.000	6.6.6.6	answer	0	0
27	u278837.example.net	50.000	30.000	6.6.6.6	answer	0	0
28	u288837.example.net	50.000	20.000	6.6.6.6	answer	0	0
29	u298837.example.net	60.000	20.000	6.6.6.6	answer	0	0
30	u308837.example.net	40.000	10.000	6.6.6.6	answer	0	0
31	u318837.example.net	50.000	10.000	6.6.6.6	answer	0	0
32	u328837.example.net	40.000	30.000	6.6.6.6	answer	0	0
33	u338837.example.net	30.000	20.000	6.6.6.6	answer	0	0
34	u348837.example.net	30.000	20.000	6.6.6.6	answer	0	0
35	u358837.example.net	40.000	10.000	6.6.6.6	answer	0	0
36	u368837.example.net	50.000	20.000	6.6.6.6	answer	0	0
37	u378837.example.net	30.000	10.000	6.6.6.6	answer	0	0
38	u388837.example.net	40.000	10.000	6.6.6.6	answer	0	0
39	u398837.example.net	50.000	20.000	6.6.6.6	answer	0	0
40	u408837.example.net	40.000	10.000	6.6.6.6	answer	0	0
41	u418837.example.net	40.000	10.000	6.6.6.6	answer	0	0
42	u428837.example.net	50.000	20.000	6.6.6.6	answer	0	0
43	u438837.example.net	60.000	20.000	6.6.6.6	answer	0	0
44	u448837.example.net	20.000	20.000	6.6.6.6	answer	0	0
45	u458837.example.net	40.000	10.000	6.6.6.6	answer	0	0
46	u468837.example.net	60.000	30.000	6.6.6.6	answer	0	0
47	u478837.example.net	50.000	20.000	6.6.6.6	answer	0	0
48	u488837.example.net	40.000	20.000	6.6.6.6	answer	0	0
49	u498837.example.net	50.000	10.000	6.6.6.6	answer	0	0
50	u508837.example.net	40.000	20.000	6.6.6.6	answer	0	0
