round	qname	trigger_ms	bank_ms	bank_ip	trigger_status	trigger_rc	bank_rc
1	u18791.example.net	110.000	350.000	203.0.113.80	answer	0	0
2	u28791.example.net	30.000	20.000	203.0.113.80	answer	0	0
3	u38791.example.net	50.000	20.000	203.0.113.80	answer	0	0
4	u48791.example.net	40.000	20.000	203.0.113.80	answer	0	0
5	u58791.example.net	40.000	30.000	203.0.113.80	answer	0	0
6	u68791.example.net	40.000	20.000	203.0.113.80	answer	0	0
7	u78791.example.net	40.000	20.000	203.0.113.80	answer	0	0
8	u88791.example.net	40.000	10.000	203.0.113.80	answer	0	0
9	u98791.example.net	50.000	20.000	203.0.113.80	answer	0	0
10	u108791.example.net	50.000	20.000	203.0.113.80	answer	0	0
11	u118791.example.net	40.000	20.000	203.0.113.80	answer	0	0
12	u128791.example.net	50.000	20.000	203.0.113.80	answer	0	0
13	u138791.example.net	40.000	20.000	203.0.113.80	answer	0	0
14	u148791.example.net	50.000	20.000	203.0.113.80	answer	0	0
15	u158791.example.net	50.000	20.000	203.0.113.80	answer	0	0
16	u168791.example.net	50.000	20.000	203.0.113.80	answer	0	0
17	u178791.example.net	40.000	20.000	203.0.113.80	answer	0	0
18	u188791.example.net	50.000	30.000	203.0.113.80	answer	0	0
19	u198791.example.net	30.000	20.000	203.0.113.80	answer	0	0
20	u208791.example.net	50.000	30.000	203.0.113.80	answer	0	0
21	u218791.example.net	70.000	30.000	203.0.113.80	answer	0	0
22	u228791.example.net	40.000	20.000	203.0.113.80	answer	0	0
23	u238792.example.net	40.000	20.000	203.0.113.80	answer	0	0
24	u248792.example.net	50.000	20.000	203.0.113.80	answer	0	0
25	u258792.example.net	50.000	20.000	203.0.113.80	answer	0	0
26	u268792.example.net	50.000	20.000	203.0.113.80	answer	0	0
27	u278792.example.net	40.000	20.000	203.0.113.80	answer	0	0
28	u288792.example.net	40.000	20.000	203.0.113.80	answer	0	0
29	u298792.example.net	50.000	20.000	203.0.113.80	answer	0	0
30	u308792.example.net	40.000	20.000	203.0.113.80	answer	0	0
31	u318792.example.net	40.000	40.000	203.0.113.80	answer	0	0
32	u328792.example.net	40.000	30.000	203.0.113.80	answer	0	0
33	u338792.example.net	40.000	20.000	203.0.113.80	answer	0	0
34	u348792.example.net	50.000	20.000	203.0.113.80	answer	0	0
35	u358792.example.net	40.000	20.000	203.0.113.80	answer	0	0
36	u368792.example.net	40.000	30.000	203.0.113.80	answer	0	0
37	u378792.example.net	40.000	20.000	203.0.113.80	answer	0	0
38	u388792.example.net	30.000	20.000	203.0.113.80	answer	0	0
39	u398792.example.net	40.000	20.000	203.0.113.80	answer	0	0
40	u408792.example.net	40.000	20.000	203.0.113.80	answer	0	0
41	u418792.example.net	40.000	20.000	203.0.113.80	answer	0	0
42	u428792.example.net	40.000	20.000	203.0.113.80	answer	0	0
43	u438792.example.net	50.000	20.000	203.0.113.80	answer	0	0
44	u448792.example.net	50.000	20.000	203.0.113.80	answer	0	0
45	u458792.example.net	60.000	20.000	203.0.113.80	answer	0	0
46	u468792.example.net	30.000	30.000	203.0.113.80	answer	0	0
47	u478792.example.net	40.000	20.000	203.0.113.80	answer	0	0
48	u488792.example.net	60.000	20.000	203.0.113.80	answer	0	0
49	u498792.example.net	50.000	10.000	203.0.113.80	answer	0	0
50	u508792.example.net	40.000	30.000	203.0.113.80	answer	0	0
