round	qname	trigger_ms	bank_ms	bank_ip	trigger_status	trigger_rc	bank_rc
1	u18753.example.net	100.000	340.000	203.0.113.80	answer	0	0
2	u28753.example.net	40.000	20.000	203.0.113.80	answer	0	0
3	u38753.example.net	30.000	20.000	203.0.113.80	answer	0	0
4	u48753.example.net	30.000	20.000	203.0.113.80	answer	0	0
5	u58753.example.net	40.000	20.000	203.0.113.80	answer	0	0
6	u68753.example.net	60.000	20.000	203.0.113.80	answer	0	0
7	u78753.example.net	30.000	10.000	203.0.113.80	answer	0	0
8	u88753.example.net	50.000	10.000	203.0.113.80	answer	0	0
9	u98753.example.net	60.000	20.000	203.0.113.80	answer	0	0
10	u108753.example.net	30.000	10.000	203.0.113.80	answer	0	0
11	u118753.example.net	60.000	10.000	203.0.113.80	answer	0	0
12	u128753.example.net	60.000	30.000	203.0.113.80	answer	0	0
13	u138753.example.net	40.000	10.000	203.0.113.80	answer	0	0
14	u148753.example.net	40.000	10.000	203.0.113.80	answer	0	0
15	u158753.example.net	50.000	20.000	203.0.113.80	answer	0	0
16	u168753.example.net	30.000	30.000	203.0.113.80	answer	0	0
17	u178753.example.net	40.000	10.000	203.0.113.80	answer	0	0
18	u188753.example.net	50.000	20.000	203.0.113.80	answer	0	0
19	u198753.example.net	40.000	30.000	203.0.113.80	answer	0	0
20	u208753.example.net	30.000	20.000	203.0.113.80	answer	0	0
21	u218753.example.net	40.000	10.000	203.0.113.80	answer	0	0
22	u228753.example.net	40.000	20.000	203.0.113.80	answer	0	0
23	u238753.example.net	50.000	20.000	203.0.113.80	answer	0	0
24	u248753.example.net	60.000	20.000	203.0.113.80	answer	0	0
25	u258753.example.net	50.000	20.000	203.0.113.80	answer	0	0
26	u268753.example.net	50.000	20.000	203.0.113.80	answer	0	0
27	u278753.example.net	40.000	20.000	203.0.113.80	answer	0	0
28	u288753.example.net	40.000	20.000	203.0.113.80	answer	0	0
29	u298753.example.net	50.000	20.000	203.0.113.80	answer	0	0
30	u308753.example.net	30.000	20.000	203.0.113.80	answer	0	0
31	u318753.example.net	40.000	20.000	203.0.113.80	answer	0	0
32	u328753.example.net	40.000	20.000	203.0.113.80	answer	0	0
33	u338753.example.net	40.000	20.000	203.0.113.80	answer	0	0
34	u348753.example.net	50.000	20.000	203.0.113.80	answer	0	0
35	u358753.example.net	60.000	10.000	203.0.113.80	answer	0	0
36	u368753.example.net	70.000	20.000	203.0.113.80	answer	0	0
37	u378753.example.net	50.000	20.000	203.0.113.80	answer	0	0
38	u388753.example.net	30.000	20.000	203.0.113.80	answer	0	0
39	u398753.example.net	30.000	10.000	203.0.113.80	answer	0	0
40	u408753.example.net	40.000	20.000	203.0.113.80	answer	0	0
41	u418753.example.net	40.000	20.000	203.0.113.80	answer	0	0
42	u428753.example.net	60.000	20.000	203.0.113.80	answer	0	0
43	u438753.example.net	50.000	10.000	203.0.113.80	answer	0	0
44	u448753.example.net	30.000	20.000	203.0.113.80	answer	0	0
45	u458753.example.net	60.000	20.000	203.0.113.80	answer	0	0
46	u468753.example.net	30.000	20.000	203.0.113.80	answer	0	0
47	u478753.example.net	30.000	10.000	203.0.113.80	answer	0	0
48	u488753.example.net	40.000	20.000	203.0.113.80	answer	0	0
49	u498753.example.net	30.000	20.000	203.0.113.80	answer	0	0
50	u508753.example.net	50.000	10.000	203.0.113.80	answer	0	0
