[+] E5-unbound probe: zone=example.net, rounds=50, resolver=10.80.0.53, profile=benign-frag
[1/50] trigger=u18778.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=100.000ms bank=320.000ms
[2/50] trigger=u28778.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=50.000ms bank=30.000ms
[3/50] trigger=u38778.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=50.000ms bank=20.000ms
[4/50] trigger=u48778.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=60.000ms bank=30.000ms
[5/50] trigger=u58778.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=50.000ms bank=20.000ms
[6/50] trigger=u68778.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=50.000ms bank=20.000ms
[7/50] trigger=u78778.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=50.000ms bank=30.000ms
[8/50] trigger=u88778.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=30.000ms bank=20.000ms
[9/50] trigger=u98778.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=40.000ms bank=10.000ms
[10/50] trigger=u108778.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=60.000ms bank=20.000ms
[11/50] trigger=u118778.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=50.000ms bank=20.000ms
[12/50] trigger=u128778.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=40.000ms bank=20.000ms
[13/50] trigger=u138778.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=30.000ms bank=20.000ms
[14/50] trigger=u148778.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=40.000ms bank=20.000ms
[15/50] trigger=u158778.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=30.000ms bank=20.000ms
[16/50] trigger=u168778.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=40.000ms bank=20.000ms
[17/50] trigger=u178778.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=40.000ms bank=20.000ms
[18/50] trigger=u188778.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=40.000ms bank=20.000ms
[19/50] trigger=u198778.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=50.000ms bank=20.000ms
[20/50] trigger=u208778.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=60.000ms bank=30.000ms
