round	qname	trigger_ms	bank_ms	bank_ip	trigger_status	trigger_rc	bank_rc
1	u18864.example.net	100.000	120.000	6.6.6.6	answer	0	0
2	u28864.example.net	400.000	20.000	6.6.6.6	answer	0	0
3	u38864.example.net	40.000	20.000	6.6.6.6	answer	0	0
4	u48864.example.net	50.000	50.000	6.6.6.6	answer	0	0
5	u58864.example.net	50.000	30.000	6.6.6.6	answer	0	0
6	u68864.example.net	40.000	30.000	6.6.6.6	answer	0	0
7	u78864.example.net	50.000	20.000	6.6.6.6	answer	0	0
8	u88864.example.net	40.000	10.000	6.6.6.6	answer	0	0
9	u98864.example.net	40.000	20.000	6.6.6.6	answer	0	0
10	u108864.example.net	130.000	30.000	6.6.6.6	answer	0	0
11	u118864.example.net	50.000	20.000	6.6.6.6	answer	0	0
12	u128864.example.net	50.000	20.000	6.6.6.6	answer	0	0
13	u138864.example.net	40.000	10.000	6.6.6.6	answer	0	0
14	u148864.example.net	30.000	20.000	6.6.6.6	answer	0	0
15	u158864.example.net	40.000	10.000	6.6.6.6	answer	0	0
16	u168864.example.net	60.000	10.000	6.6.6.6	answer	0	0
17	u178864.example.net	40.000	20.000	6.6.6.6	answer	0	0
18	u188864.example.net	40.000	20.000	6.6.6.6	answer	0	0
19	u198864.example.net	30.000	20.000	6.6.6.6	answer	0	0
20	u208864.example.net	30.000	20.000	6.6.6.6	answer	0	0
21	u218864.example.net	40.000	20.000	6.6.6.6	answer	0	0
22	u228864.example.net	40.000	20.000	6.6.6.6	answer	0	0
23	u238864.example.net	40.000	30.000	6.6.6.6	answer	0	0
24	u248864.example.net	40.000	20.000	6.6.6.6	answer	0	0
25	u258864.example.net	60.000	20.000	6.6.6.6	answer	0	0
26	u268864.example.net	30.000	20.000	6.6.6.6	answer	0	0
27	u278864.example.net	30.000	20.000	6.6.6.6	answer	0	0
28	u288864.example.net	30.000	20.000	6.6.6.6	answer	0	0
29	u298864.example.net	40.000	20.000	6.6.6.6	answer	0	0
30	u308864.example.net	20.000	10.000	6.6.6.6	answer	0	0
31	u318864.example.net	40.000	10.000	6.6.6.6	answer	0	0
32	u328864.example.net	60.000	20.000	6.6.6.6	answer	0	0
33	u338864.example.net	40.000	30.000	6.6.6.6	answer	0	0
34	u348864.example.net	50.000	20.000	6.6.6.6	answer	0	0
35	u358864.example.net	50.000	20.000	6.6.6.6	answer	0	0
36	u368864.example.net	50.000	20.000	6.6.6.6	answer	0	0
37	u378864.example.net	50.000	40.000	6.6.6.6	answer	0	0
38	u388864.example.net	60.000	30.000	6.6.6.6	answer	0	0
39	u398864.example.net	40.000	20.000	6.6.6.6	answer	0	0
40	u408864.example.net	50.000	20.000	6.6.6.6	answer	0	0
41	u418864.example.net	30.000	20.000	6.6.6.6	answer	0	0
42	u428864.example.net	30.000	20.000	6.6.6.6	answer	0	0
43	u438864.example.net	50.000	20.000	6.6.6.6	answer	0	0
44	u448864.example.net	50.000	30.000	6.6.6.6	answer	0	0
45	u458864.example.net	30.000	20.000	6.6.6.6	answer	0	0
46	u468864.example.net	50.000	20.000	6.6.6.6	answer	0	0
47	u478864.example.net	50.000	20.000	6.6.6.6	answer	0	0
48	u488864.example.net	30.000	20.000	6.6.6.6	answer	0	0
49	u498864.example.net	40.000	20.000	6.6.6.6	answer	0	0
50	u508864.example.net	40.000	30.000	6.6.6.6	answer	0	0
