round	qname	trigger_ms	bank_ms	bank_ip	trigger_status	trigger_rc	bank_rc
1	u18991.example.net	80.000	150.000	6.6.6.6	answer	0	0
2	u28992.example.net	50.000	30.000	6.6.6.6	answer	0	0
3	u38992.example.net	50.000	20.000	6.6.6.6	answer	0	0
4	u48992.example.net	40.000	20.000	6.6.6.6	answer	0	0
5	u58992.example.net	50.000	20.000	6.6.6.6	answer	0	0
6	u68992.example.net	60.000	10.000	6.6.6.6	answer	0	0
7	u78992.example.net	60.000	20.000	6.6.6.6	answer	0	0
8	u88992.example.net	40.000	20.000	6.6.6.6	answer	0	0
9	u98992.example.net	60.000	20.000	6.6.6.6	answer	0	0
10	u108992.example.net	40.000	20.000	6.6.6.6	answer	0	0
11	u118992.example.net	40.000	10.000	6.6.6.6	answer	0	0
12	u128992.example.net	50.000	40.000	6.6.6.6	answer	0	0
13	u138992.example.net	40.000	20.000	6.6.6.6	answer	0	0
14	u148992.example.net	50.000	30.000	6.6.6.6	answer	0	0
15	u158992.example.net	60.000	20.000	6.6.6.6	answer	0	0
16	u168992.example.net	40.000	30.000	6.6.6.6	answer	0	0
17	u178992.example.net	50.000	30.000	6.6.6.6	answer	0	0
18	u188992.example.net	60.000	20.000	6.6.6.6	answer	0	0
19	u198992.example.net	40.000	20.000	6.6.6.6	answer	0	0
20	u208992.example.net	50.000	20.000	6.6.6.6	answer	0	0
21	u218992.example.net	30.000	30.000	6.6.6.6	answer	0	0
22	u228992.example.net	60.000	30.000	6.6.6.6	answer	0	0
23	u238992.example.net	40.000	30.000	6.6.6.6	answer	0	0
24	u248992.example.net	50.000	40.000	6.6.6.6	answer	0	0
25	u258992.example.net	60.000	30.000	6.6.6.6	answer	0	0
26	u268992.example.net	50.000	40.000	6.6.6.6	answer	0	0
27	u278992.example.net	40.000	30.000	6.6.6.6	answer	0	0
28	u288992.example.net	40.000	30.000	6.6.6.6	answer	0	0
29	u298992.example.net	60.000	30.000	6.6.6.6	answer	0	0
30	u308992.example.net	60.000	30.000	6.6.6.6	answer	0	0
31	u318992.example.net	60.000	20.000	6.6.6.6	answer	0	0
32	u328992.example.net	40.000	20.000	6.6.6.6	answer	0	0
33	u338992.example.net	40.000	20.000	6.6.6.6	answer	0	0
34	u348992.example.net	40.000	20.000	6.6.6.6	answer	0	0
35	u358992.example.net	40.000	20.000	6.6.6.6	answer	0	0
36	u368992.example.net	50.000	30.000	6.6.6.6	answer	0	0
37	u378992.example.net	60.000	30.000	6.6.6.6	answer	0	0
38	u388992.example.net	50.000	30.000	6.6.6.6	answer	0	0
39	u398992.example.net	50.000	40.000	6.6.6.6	answer	0	0
40	u408992.example.net	70.000	30.000	6.6.6.6	answer	0	0
41	u418992.example.net	60.000	30.000	6.6.6.6	answer	0	0
42	u428992.example.net	50.000	40.000	6.6.6.6	answer	0	0
43	u438992.example.net	50.000	40.000	6.6.6.6	answer	0	0
44	u448992.example.net	50.000	50.000	6.6.6.6	answer	0	0
45	u458992.example.net	50.000	30.000	6.6.6.6	answer	0	0
46	u468992.example.net	60.000	30.000	6.6.6.6	answer	0	0
47	u478992.example.net	50.000	30.000	6.6.6.6	answer	0	0
48	u488992.example.net	40.000	30.000	6.6.6.6	answer	0	0
49	u498992.example.net	60.000	30.000	6.6.6.6	answer	0	0
50	u508992.example.net	50.000	30.000	6.6.6.6	answer	0	0
