role,source_split,profile,level,pair_id,condition,space,metric,value
primary,test,bursty,24,1,attack_sweep_bursty,2048,entropy_AP,0.5099476480717708
primary,test,bursty,24,1,attack_sweep_bursty,2048,unique_ratio_AP,0.5102040816326531
primary,test,bursty,24,1,attack_sweep_bursty,2048,B2_attack_alert,0.5
primary,test,bursty,24,1,attack_sweep_bursty,2048,B2_benign_trigger,0.5
primary,test,bursty,24,1,attack_sweep_bursty,2048,B2_FNR,0.5
primary,test,bursty,24,1,attack_sweep_bursty,2048,B2_J,0.0
primary,test,bursty,24,1,attack_sweep_bursty,2048,B5_initial_attack_alert,0.5
primary,test,bursty,24,1,attack_sweep_bursty,2048,B5_initial_benign_trigger,0.5
primary,test,bursty,24,1,attack_sweep_bursty,2048,B5_initial_FNR,0.5
primary,test,bursty,24,1,attack_sweep_bursty,2048,B5_initial_J,0.0
primary,test,bursty,24,1,attack_sweep_bursty,2048,B5_locked_attack_alert,0.0
primary,test,bursty,24,1,attack_sweep_bursty,2048,B5_locked_benign_trigger,0.0
primary,test,bursty,24,1,attack_sweep_bursty,2048,B5_locked_FNR,1.0
primary,test,bursty,24,1,attack_sweep_bursty,2048,B5_locked_J,0.0
primary,test,bursty,24,1,attack_sweep_bursty,65536,entropy_AP,0.5
primary,test,bursty,24,1,attack_sweep_bursty,65536,unique_ratio_AP,0.5
primary,test,bursty,24,1,attack_sweep_bursty,65536,B2_attack_alert,0.5
primary,test,bursty,24,1,attack_sweep_bursty,65536,B2_benign_trigger,0.5
primary,test,bursty,24,1,attack_sweep_bursty,65536,B2_FNR,0.5
primary,test,bursty,24,1,attack_sweep_bursty,65536,B2_J,0.0
primary,test,bursty,24,1,attack_sweep_bursty,65536,B5_initial_attack_alert,0.5
primary,test,bursty,24,1,attack_sweep_bursty,65536,B5_initial_benign_trigger,0.5
primary,test,bursty,24,1,attack_sweep_bursty,65536,B5_initial_FNR,0.5
primary,test,bursty,24,1,attack_sweep_bursty,65536,B5_initial_J,0.0
primary,test,bursty,24,1,attack_sweep_bursty,65536,B5_locked_attack_alert,0.0
primary,test,bursty,24,1,attack_sweep_bursty,65536,B5_locked_benign_trigger,0.0
primary,test,bursty,24,1,attack_sweep_bursty,65536,B5_locked_FNR,1.0
primary,test,bursty,24,1,attack_sweep_bursty,65536,B5_locked_J,0.0
primary,test,bursty,24,3,attack_sweep_bursty,2048,entropy_AP,0.5092263701553447
primary,test,bursty,24,3,attack_sweep_bursty,2048,unique_ratio_AP,0.5474452554744526
primary,test,bursty,24,3,attack_sweep_bursty,2048,B2_attack_alert,0.4666666666666667
primary,test,bursty,24,3,attack_sweep_bursty,2048,B2_benign_trigger,0.4666666666666667
