role,profile,level,condition,space,metric,mean,ci_low,ci_high,pairs
primary,bursty,24,attack_sweep_bursty,2048,B2_FNR,0.5066666666666667,0.48888888888888893,0.5233333333333333,6
primary,bursty,24,attack_sweep_bursty,2048,B2_J,0.0,0.0,0.0,6
primary,bursty,24,attack_sweep_bursty,2048,B2_attack_alert,0.49333333333333335,0.4766666666666666,0.5099999999999999,6
primary,bursty,24,attack_sweep_bursty,2048,B2_benign_trigger,0.49333333333333335,0.47666666666666674,0.51,6
primary,bursty,24,attack_sweep_bursty,2048,B5_initial_FNR,0.5066666666666667,0.48999999999999994,0.5233333333333333,6
primary,bursty,24,attack_sweep_bursty,2048,B5_initial_J,0.0,0.0,0.0,6
primary,bursty,24,attack_sweep_bursty,2048,B5_initial_attack_alert,0.49333333333333335,0.47666666666666674,0.5099999999999999,6
primary,bursty,24,attack_sweep_bursty,2048,B5_initial_benign_trigger,0.49333333333333335,0.4766666666666666,0.5111111111111111,6
primary,bursty,24,attack_sweep_bursty,2048,B5_locked_FNR,1.0,1.0,1.0,6
primary,bursty,24,attack_sweep_bursty,2048,B5_locked_J,0.0,0.0,0.0,6
primary,bursty,24,attack_sweep_bursty,2048,B5_locked_attack_alert,0.0,0.0,0.0,6
primary,bursty,24,attack_sweep_bursty,2048,B5_locked_benign_trigger,0.0,0.0,0.0,6
primary,bursty,24,attack_sweep_bursty,2048,entropy_AP,0.5142523746424285,0.5071355995708023,0.5232945789839785,6
primary,bursty,24,attack_sweep_bursty,2048,unique_ratio_AP,0.5290954983500545,0.5178791883091686,0.5398527124297098,6
primary,bursty,24,attack_sweep_bursty,65536,B2_FNR,0.5066666666666667,0.49000000000000005,0.5233333333333333,6
primary,bursty,24,attack_sweep_bursty,65536,B2_J,0.0,0.0,0.0,6
primary,bursty,24,attack_sweep_bursty,65536,B2_attack_alert,0.49333333333333335,0.4766666666666666,0.51,6
