policy,workload,criterion,runs,any_alert_runs,ci_low,ci_high
B0_OFF,ATTACK_DIVERSE_HIGH,majority_interval_rate,20,0,0.0,0.1684334709830853
B0_OFF,ATTACK_DIVERSE_HIGH,any_interval_rate,20,0,0.0,0.1684334709830853
B0_OFF,ATTACK_DIVERSE_MODERATE,majority_interval_rate,20,0,0.0,0.1684334709830853
B0_OFF,ATTACK_DIVERSE_MODERATE,any_interval_rate,20,0,0.0,0.1684334709830853
B0_OFF,BENIGN_DIVERSE_HIGH,majority_interval_rate,20,0,0.0,0.1684334709830853
B0_OFF,BENIGN_DIVERSE_HIGH,any_interval_rate,20,0,0.0,0.1684334709830853
B0_OFF,BENIGN_DIVERSE_MODERATE,majority_interval_rate,20,0,0.0,0.1684334709830853
B0_OFF,BENIGN_DIVERSE_MODERATE,any_interval_rate,20,0,0.0,0.1684334709830853
B1_RL2_TC,ATTACK_DIVERSE_HIGH,majority_interval_rate,20,0,0.0,0.1684334709830853
B1_RL2_TC,ATTACK_DIVERSE_HIGH,any_interval_rate,20,0,0.0,0.1684334709830853
B1_RL2_TC,ATTACK_DIVERSE_MODERATE,majority_interval_rate,20,0,0.0,0.1684334709830853
B1_RL2_TC,ATTACK_DIVERSE_MODERATE,any_interval_rate,20,0,0.0,0.1684334709830853
B1_RL2_TC,BENIGN_DIVERSE_HIGH,majority_interval_rate,20,0,0.0,0.1684334709830853
B1_RL2_TC,BENIGN_DIVERSE_HIGH,any_interval_rate,20,0,0.0,0.1684334709830853
B1_RL2_TC,BENIGN_DIVERSE_MODERATE,majority_interval_rate,20,0,0.0,0.1684334709830853
B1_RL2_TC,BENIGN_DIVERSE_MODERATE,any_interval_rate,20,0,0.0,0.1684334709830853
B5_LOCKED_TC,ATTACK_DIVERSE_HIGH,majority_interval_rate,20,0,0.0,0.1684334709830853
B5_LOCKED_TC,ATTACK_DIVERSE_HIGH,any_interval_rate,20,0,0.0,0.1684334709830853
B5_LOCKED_TC,ATTACK_DIVERSE_MODERATE,majority_interval_rate,20,0,0.0,0.1684334709830853
B5_LOCKED_TC,ATTACK_DIVERSE_MODERATE,any_interval_rate,20,0,0.0,0.1684334709830853
B5_LOCKED_TC,BENIGN_DIVERSE_HIGH,majority_interval_rate,20,0,0.0,0.1684334709830853
B5_LOCKED_TC,BENIGN_DIVERSE_HIGH,any_interval_rate,20,0,0.0,0.1684334709830853
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,majority_interval_rate,20,0,0.0,0.1684334709830853
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,any_interval_rate,20,0,0.0,0.1684334709830853
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,majority_interval_rate,20,0,0.0,0.1684334709830853
RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,any_interval_rate,20,0,0.0,0.1684334709830853
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,majority_interval_rate,20,0,0.0,0.1684334709830853
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,any_interval_rate,20,0,0.0,0.1684334709830853
RFC_DROP_NATIVE,BENIGN_DIVERSE_HIGH,majority_interval_rate,20,0,0.0,0.1684334709830853
RFC_DROP_NATIVE,BENIGN_DIVERSE_HIGH,any_interval_rate,20,0,0.0,0.1684334709830853
RFC_DROP_NATIVE,BENIGN_DIVERSE_MODERATE,majority_interval_rate,20,0,0.0,0.1684334709830853
RFC_DROP_NATIVE,BENIGN_DIVERSE_MODERATE,any_interval_rate,20,0,0.0,0.1684334709830853
