behavior,level,run,configuration,decisions,triggers,rate
random2048,5,0,initial,300,0,0.0
random2048,5,0,locked,300,0,0.0
random2048,5,1,initial,300,0,0.0
random2048,5,1,locked,300,0,0.0
random2048,5,2,initial,300,0,0.0
random2048,5,2,locked,300,0,0.0
random2048,5,3,initial,300,0,0.0
random2048,5,3,locked,300,0,0.0
random2048,5,4,initial,300,0,0.0
random2048,5,4,locked,300,0,0.0
random2048,5,5,initial,300,0,0.0
random2048,5,5,locked,300,0,0.0
random2048,5,6,initial,300,0,0.0
random2048,5,6,locked,300,0,0.0
random2048,5,7,initial,300,0,0.0
random2048,5,7,locked,300,0,0.0
random2048,5,8,initial,300,0,0.0
random2048,5,8,locked,300,0,0.0
random2048,5,9,initial,300,0,0.0
random2048,5,9,locked,300,0,0.0
random2048,5,10,initial,300,0,0.0
random2048,5,10,locked,300,0,0.0
random2048,5,11,initial,300,0,0.0
random2048,5,11,locked,300,0,0.0
random2048,5,12,initial,300,0,0.0
random2048,5,12,locked,300,0,0.0
random2048,5,13,initial,300,0,0.0
random2048,5,13,locked,300,0,0.0
random2048,5,14,initial,300,0,0.0
random2048,5,14,locked,300,0,0.0
random2048,5,15,initial,300,0,0.0
random2048,5,15,locked,300,0,0.0
random2048,5,16,initial,300,0,0.0
random2048,5,16,locked,300,0,0.0
random2048,5,17,initial,300,0,0.0
random2048,5,17,locked,300,0,0.0
random2048,5,18,initial,300,0,0.0
random2048,5,18,locked,300,0,0.0
random2048,5,19,initial,300,0,0.0
random2048,5,19,locked,300,0,0.0
sequential,5,0,initial,300,0,0.0
sequential,5,0,locked,300,0,0.0
sequential,5,1,initial,300,0,0.0
sequential,5,1,locked,300,0,0.0
sequential,5,2,initial,300,0,0.0
sequential,5,2,locked,300,0,0.0
sequential,5,3,initial,300,0,0.0
sequential,5,3,locked,300,0,0.0
sequential,5,4,initial,300,0,0.0
sequential,5,4,locked,300,0,0.0
sequential,5,5,initial,300,0,0.0
sequential,5,5,locked,300,0,0.0
sequential,5,6,initial,300,0,0.0
sequential,5,6,locked,300,0,0.0
sequential,5,7,initial,300,0,0.0
sequential,5,7,locked,300,0,0.0
sequential,5,8,initial,300,0,0.0
sequential,5,8,locked,300,0,0.0
sequential,5,9,initial,300,0,0.0
sequential,5,9,locked,300,0,0.0
sequential,5,10,initial,300,0,0.0
sequential,5,10,locked,300,0,0.0
sequential,5,11,initial,300,0,0.0
sequential,5,11,locked,300,0,0.0
sequential,5,12,initial,300,0,0.0
sequential,5,12,locked,300,0,0.0
sequential,5,13,initial,300,0,0.0
sequential,5,13,locked,300,0,0.0
sequential,5,14,initial,300,0,0.0
sequential,5,14,locked,300,0,0.0
sequential,5,15,initial,300,0,0.0
sequential,5,15,locked,300,0,0.0
sequential,5,16,initial,300,0,0.0
sequential,5,16,locked,300,0,0.0
sequential,5,17,initial,300,0,0.0
sequential,5,17,locked,300,0,0.0
sequential,5,18,initial,300,0,0.0
sequential,5,18,locked,300,0,0.0
sequential,5,19,initial,300,0,0.0
sequential,5,19,locked,300,0,0.0
smallpool16,5,0,initial,300,0,0.0
smallpool16,5,0,locked,300,0,0.0
smallpool16,5,1,initial,300,0,0.0
smallpool16,5,1,locked,300,0,0.0
smallpool16,5,2,initial,300,0,0.0
smallpool16,5,2,locked,300,0,0.0
smallpool16,5,3,initial,300,0,0.0
smallpool16,5,3,locked,300,0,0.0
smallpool16,5,4,initial,300,0,0.0
smallpool16,5,4,locked,300,0,0.0
smallpool16,5,5,initial,300,0,0.0
smallpool16,5,5,locked,300,0,0.0
smallpool16,5,6,initial,300,0,0.0
smallpool16,5,6,locked,300,0,0.0
smallpool16,5,7,initial,300,0,0.0
smallpool16,5,7,locked,300,0,0.0
smallpool16,5,8,initial,300,0,0.0
smallpool16,5,8,locked,300,0,0.0
smallpool16,5,9,initial,300,0,0.0
smallpool16,5,9,locked,300,0,0.0
smallpool16,5,10,initial,300,0,0.0
smallpool16,5,10,locked,300,0,0.0
smallpool16,5,11,initial,300,0,0.0
smallpool16,5,11,locked,300,0,0.0
smallpool16,5,12,initial,300,0,0.0
smallpool16,5,12,locked,300,0,0.0
smallpool16,5,13,initial,300,0,0.0
smallpool16,5,13,locked,300,0,0.0
smallpool16,5,14,initial,300,0,0.0
smallpool16,5,14,locked,300,0,0.0
smallpool16,5,15,initial,300,0,0.0
smallpool16,5,15,locked,300,0,0.0
smallpool16,5,16,initial,300,0,0.0
smallpool16,5,16,locked,300,0,0.0
smallpool16,5,17,initial,300,0,0.0
smallpool16,5,17,locked,300,0,0.0
smallpool16,5,18,initial,300,0,0.0
smallpool16,5,18,locked,300,0,0.0
smallpool16,5,19,initial,300,0,0.0
smallpool16,5,19,locked,300,0,0.0
random2048,12,0,initial,300,0,0.0
random2048,12,0,locked,300,0,0.0
random2048,12,1,initial,300,0,0.0
random2048,12,1,locked,300,0,0.0
random2048,12,2,initial,300,3,0.01
random2048,12,2,locked,300,0,0.0
random2048,12,3,initial,300,0,0.0
random2048,12,3,locked,300,0,0.0
random2048,12,4,initial,300,0,0.0
random2048,12,4,locked,300,0,0.0
random2048,12,5,initial,300,0,0.0
random2048,12,5,locked,300,0,0.0
random2048,12,6,initial,300,1,0.0033333333333333335
random2048,12,6,locked,300,0,0.0
random2048,12,7,initial,300,0,0.0
random2048,12,7,locked,300,0,0.0
random2048,12,8,initial,300,0,0.0
random2048,12,8,locked,300,0,0.0
random2048,12,9,initial,300,0,0.0
random2048,12,9,locked,300,0,0.0
random2048,12,10,initial,300,0,0.0
random2048,12,10,locked,300,0,0.0
random2048,12,11,initial,300,0,0.0
random2048,12,11,locked,300,0,0.0
random2048,12,12,initial,300,0,0.0
random2048,12,12,locked,300,0,0.0
random2048,12,13,initial,300,0,0.0
random2048,12,13,locked,300,0,0.0
random2048,12,14,initial,300,0,0.0
random2048,12,14,locked,300,0,0.0
random2048,12,15,initial,300,0,0.0
random2048,12,15,locked,300,0,0.0
random2048,12,16,initial,300,0,0.0
random2048,12,16,locked,300,0,0.0
random2048,12,17,initial,300,0,0.0
random2048,12,17,locked,300,0,0.0
random2048,12,18,initial,300,0,0.0
random2048,12,18,locked,300,0,0.0
random2048,12,19,initial,300,0,0.0
random2048,12,19,locked,300,0,0.0
sequential,12,0,initial,300,0,0.0
sequential,12,0,locked,300,0,0.0
sequential,12,1,initial,300,0,0.0
sequential,12,1,locked,300,0,0.0
sequential,12,2,initial,300,0,0.0
sequential,12,2,locked,300,0,0.0
sequential,12,3,initial,300,0,0.0
sequential,12,3,locked,300,0,0.0
sequential,12,4,initial,300,0,0.0
sequential,12,4,locked,300,0,0.0
sequential,12,5,initial,300,0,0.0
sequential,12,5,locked,300,0,0.0
sequential,12,6,initial,300,0,0.0
sequential,12,6,locked,300,0,0.0
sequential,12,7,initial,300,0,0.0
sequential,12,7,locked,300,0,0.0
sequential,12,8,initial,300,2,0.006666666666666667
sequential,12,8,locked,300,0,0.0
sequential,12,9,initial,300,0,0.0
sequential,12,9,locked,300,0,0.0
sequential,12,10,initial,300,0,0.0
sequential,12,10,locked,300,0,0.0
sequential,12,11,initial,300,0,0.0
sequential,12,11,locked,300,0,0.0
sequential,12,12,initial,300,0,0.0
sequential,12,12,locked,300,0,0.0
sequential,12,13,initial,300,0,0.0
sequential,12,13,locked,300,0,0.0
sequential,12,14,initial,300,0,0.0
sequential,12,14,locked,300,0,0.0
sequential,12,15,initial,300,0,0.0
sequential,12,15,locked,300,0,0.0
sequential,12,16,initial,300,0,0.0
sequential,12,16,locked,300,0,0.0
sequential,12,17,initial,300,5,0.016666666666666666
sequential,12,17,locked,300,0,0.0
sequential,12,18,initial,300,0,0.0
sequential,12,18,locked,300,0,0.0
sequential,12,19,initial,300,0,0.0
sequential,12,19,locked,300,0,0.0
smallpool16,12,0,initial,300,0,0.0
smallpool16,12,0,locked,300,0,0.0
smallpool16,12,1,initial,300,0,0.0
smallpool16,12,1,locked,300,0,0.0
smallpool16,12,2,initial,300,0,0.0
smallpool16,12,2,locked,300,0,0.0
smallpool16,12,3,initial,300,0,0.0
smallpool16,12,3,locked,300,0,0.0
smallpool16,12,4,initial,300,0,0.0
smallpool16,12,4,locked,300,0,0.0
smallpool16,12,5,initial,300,0,0.0
smallpool16,12,5,locked,300,0,0.0
smallpool16,12,6,initial,300,0,0.0
smallpool16,12,6,locked,300,0,0.0
smallpool16,12,7,initial,300,0,0.0
smallpool16,12,7,locked,300,0,0.0
smallpool16,12,8,initial,300,0,0.0
smallpool16,12,8,locked,300,0,0.0
smallpool16,12,9,initial,300,0,0.0
smallpool16,12,9,locked,300,0,0.0
smallpool16,12,10,initial,300,0,0.0
smallpool16,12,10,locked,300,0,0.0
smallpool16,12,11,initial,300,0,0.0
smallpool16,12,11,locked,300,0,0.0
smallpool16,12,12,initial,300,0,0.0
smallpool16,12,12,locked,300,0,0.0
smallpool16,12,13,initial,300,0,0.0
smallpool16,12,13,locked,300,0,0.0
smallpool16,12,14,initial,300,0,0.0
smallpool16,12,14,locked,300,0,0.0
smallpool16,12,15,initial,300,0,0.0
smallpool16,12,15,locked,300,0,0.0
smallpool16,12,16,initial,300,0,0.0
smallpool16,12,16,locked,300,0,0.0
smallpool16,12,17,initial,300,0,0.0
smallpool16,12,17,locked,300,0,0.0
smallpool16,12,18,initial,300,0,0.0
smallpool16,12,18,locked,300,0,0.0
smallpool16,12,19,initial,300,0,0.0
smallpool16,12,19,locked,300,0,0.0
random2048,18,0,initial,300,60,0.2
random2048,18,0,locked,300,0,0.0
random2048,18,1,initial,300,35,0.11666666666666667
random2048,18,1,locked,300,0,0.0
random2048,18,2,initial,300,3,0.01
random2048,18,2,locked,300,0,0.0
random2048,18,3,initial,300,72,0.24
random2048,18,3,locked,300,0,0.0
random2048,18,4,initial,300,1,0.0033333333333333335
random2048,18,4,locked,300,0,0.0
random2048,18,5,initial,300,30,0.1
random2048,18,5,locked,300,0,0.0
random2048,18,6,initial,300,15,0.05
random2048,18,6,locked,300,0,0.0
random2048,18,7,initial,300,44,0.14666666666666667
random2048,18,7,locked,300,0,0.0
random2048,18,8,initial,300,20,0.06666666666666667
random2048,18,8,locked,300,0,0.0
random2048,18,9,initial,300,25,0.08333333333333333
random2048,18,9,locked,300,0,0.0
random2048,18,10,initial,300,16,0.05333333333333334
random2048,18,10,locked,300,0,0.0
random2048,18,11,initial,300,19,0.06333333333333334
random2048,18,11,locked,300,0,0.0
random2048,18,12,initial,300,16,0.05333333333333334
random2048,18,12,locked,300,0,0.0
random2048,18,13,initial,300,25,0.08333333333333333
random2048,18,13,locked,300,0,0.0
random2048,18,14,initial,300,27,0.09
random2048,18,14,locked,300,0,0.0
random2048,18,15,initial,300,60,0.2
random2048,18,15,locked,300,0,0.0
random2048,18,16,initial,300,28,0.09333333333333334
random2048,18,16,locked,300,0,0.0
random2048,18,17,initial,300,21,0.07
random2048,18,17,locked,300,0,0.0
random2048,18,18,initial,300,34,0.11333333333333333
random2048,18,18,locked,300,0,0.0
random2048,18,19,initial,300,49,0.16333333333333333
random2048,18,19,locked,300,0,0.0
sequential,18,0,initial,300,37,0.12333333333333334
sequential,18,0,locked,300,0,0.0
sequential,18,1,initial,300,15,0.05
sequential,18,1,locked,300,0,0.0
sequential,18,2,initial,300,76,0.25333333333333335
sequential,18,2,locked,300,0,0.0
sequential,18,3,initial,300,6,0.02
sequential,18,3,locked,300,0,0.0
sequential,18,4,initial,300,62,0.20666666666666667
sequential,18,4,locked,300,0,0.0
sequential,18,5,initial,300,23,0.07666666666666666
sequential,18,5,locked,300,0,0.0
sequential,18,6,initial,300,80,0.26666666666666666
sequential,18,6,locked,300,0,0.0
sequential,18,7,initial,300,9,0.03
sequential,18,7,locked,300,0,0.0
sequential,18,8,initial,300,38,0.12666666666666668
sequential,18,8,locked,300,0,0.0
sequential,18,9,initial,300,45,0.15
sequential,18,9,locked,300,0,0.0
sequential,18,10,initial,300,50,0.16666666666666666
sequential,18,10,locked,300,0,0.0
sequential,18,11,initial,300,29,0.09666666666666666
sequential,18,11,locked,300,0,0.0
sequential,18,12,initial,300,13,0.043333333333333335
sequential,18,12,locked,300,0,0.0
sequential,18,13,initial,300,14,0.04666666666666667
sequential,18,13,locked,300,0,0.0
sequential,18,14,initial,300,10,0.03333333333333333
sequential,18,14,locked,300,0,0.0
sequential,18,15,initial,300,6,0.02
sequential,18,15,locked,300,0,0.0
sequential,18,16,initial,300,29,0.09666666666666666
sequential,18,16,locked,300,0,0.0
sequential,18,17,initial,300,33,0.11
sequential,18,17,locked,300,0,0.0
sequential,18,18,initial,300,19,0.06333333333333334
sequential,18,18,locked,300,0,0.0
sequential,18,19,initial,300,53,0.17666666666666667
sequential,18,19,locked,300,0,0.0
smallpool16,18,0,initial,300,0,0.0
smallpool16,18,0,locked,300,0,0.0
smallpool16,18,1,initial,300,0,0.0
smallpool16,18,1,locked,300,0,0.0
smallpool16,18,2,initial,300,0,0.0
smallpool16,18,2,locked,300,0,0.0
smallpool16,18,3,initial,300,0,0.0
smallpool16,18,3,locked,300,0,0.0
smallpool16,18,4,initial,300,0,0.0
smallpool16,18,4,locked,300,0,0.0
smallpool16,18,5,initial,300,0,0.0
smallpool16,18,5,locked,300,0,0.0
smallpool16,18,6,initial,300,0,0.0
smallpool16,18,6,locked,300,0,0.0
smallpool16,18,7,initial,300,0,0.0
smallpool16,18,7,locked,300,0,0.0
smallpool16,18,8,initial,300,0,0.0
smallpool16,18,8,locked,300,0,0.0
smallpool16,18,9,initial,300,0,0.0
smallpool16,18,9,locked,300,0,0.0
smallpool16,18,10,initial,300,0,0.0
smallpool16,18,10,locked,300,0,0.0
smallpool16,18,11,initial,300,0,0.0
smallpool16,18,11,locked,300,0,0.0
smallpool16,18,12,initial,300,0,0.0
smallpool16,18,12,locked,300,0,0.0
smallpool16,18,13,initial,300,0,0.0
smallpool16,18,13,locked,300,0,0.0
smallpool16,18,14,initial,300,0,0.0
smallpool16,18,14,locked,300,0,0.0
smallpool16,18,15,initial,300,0,0.0
smallpool16,18,15,locked,300,0,0.0
smallpool16,18,16,initial,300,0,0.0
smallpool16,18,16,locked,300,0,0.0
smallpool16,18,17,initial,300,0,0.0
smallpool16,18,17,locked,300,0,0.0
smallpool16,18,18,initial,300,0,0.0
smallpool16,18,18,locked,300,0,0.0
smallpool16,18,19,initial,300,0,0.0
smallpool16,18,19,locked,300,0,0.0
random2048,24,0,initial,300,166,0.5533333333333333
random2048,24,0,locked,300,0,0.0
random2048,24,1,initial,300,136,0.4533333333333333
random2048,24,1,locked,300,0,0.0
random2048,24,2,initial,300,244,0.8133333333333334
random2048,24,2,locked,300,0,0.0
random2048,24,3,initial,300,151,0.5033333333333333
random2048,24,3,locked,300,0,0.0
random2048,24,4,initial,300,160,0.5333333333333333
random2048,24,4,locked,300,0,0.0
random2048,24,5,initial,300,206,0.6866666666666666
random2048,24,5,locked,300,0,0.0
random2048,24,6,initial,300,130,0.43333333333333335
random2048,24,6,locked,300,0,0.0
