behavior,level,configuration,mean,ci_low,ci_high,runs
random2048,5,initial,0.0,0.0,0.0,20
random2048,5,locked,0.0,0.0,0.0,20
random2048,12,initial,0.0006666666666666668,0.0,0.0018333333333333333,20
random2048,12,locked,0.0,0.0,0.0,20
random2048,18,initial,0.1,0.07566666666666667,0.1275,20
random2048,18,locked,0.0,0.0,0.0,20
random2048,24,initial,0.5315,0.4866666666666667,0.5803375,20
random2048,24,locked,0.0,0.0,0.0,20
random2048,36,initial,0.9773333333333335,0.9606666666666666,0.9908333333333331,20
random2048,36,locked,0.0,0.0,0.0,20
random2048,60,initial,1.0,1.0,1.0,20
random2048,60,locked,0.19366666666666668,0.131,0.26283749999999995,20
random2048,120,initial,1.0,1.0,1.0,20
random2048,120,locked,1.0,1.0,1.0,20
random2048,300,initial,1.0,1.0,1.0,20
random2048,300,locked,0.9793333333333333,0.9503333333333333,0.9983333333333334,20
sequential,5,initial,0.0,0.0,0.0,20
sequential,5,locked,0.0,0.0,0.0,20
sequential,12,initial,0.0011666666666666668,0.0,0.003166666666666667,20
sequential,12,locked,0.0,0.0,0.0,20
sequential,18,initial,0.10783333333333334,0.07733333333333334,0.14116666666666666,20
sequential,18,locked,0.0,0.0,0.0,20
sequential,24,initial,0.5006666666666667,0.4586625,0.5405,20
sequential,24,locked,0.0,0.0,0.0,20
sequential,36,initial,0.9756666666666668,0.9638333333333332,0.9871666666666666,20
sequential,36,locked,0.0,0.0,0.0,20
sequential,60,initial,1.0,1.0,1.0,20
sequential,60,locked,0.32283333333333336,0.25566250000000007,0.38950416666666665,20
sequential,120,initial,1.0,1.0,1.0,20
sequential,120,locked,1.0,1.0,1.0,20
sequential,300,initial,1.0,1.0,1.0,20
sequential,300,locked,1.0,1.0,1.0,20
smallpool16,5,initial,0.0,0.0,0.0,20
smallpool16,5,locked,0.0,0.0,0.0,20
smallpool16,12,initial,0.0,0.0,0.0,20
smallpool16,12,locked,0.0,0.0,0.0,20
smallpool16,18,initial,0.0,0.0,0.0,20
smallpool16,18,locked,0.0,0.0,0.0,20
smallpool16,24,initial,0.0,0.0,0.0,20
smallpool16,24,locked,0.0,0.0,0.0,20
smallpool16,36,initial,0.0,0.0,0.0,20
smallpool16,36,locked,0.0,0.0,0.0,20
smallpool16,60,initial,0.0,0.0,0.0,20
smallpool16,60,locked,0.0,0.0,0.0,20
smallpool16,120,initial,0.0,0.0,0.0,20
smallpool16,120,locked,0.0,0.0,0.0,20
smallpool16,300,initial,0.0,0.0,0.0,20
smallpool16,300,locked,0.0,0.0,0.0,20
