campaign,policy,workload,runs,trials,tc_injection_rate,tcp_retry_rate,noanswer_rate,legitimate_answer_rate,forged_tail_drop_rate,trigger_rate,malicious_answer_rate,any_malicious_runs,any_malicious_ci_low,any_malicious_ci_high,cache_insertion_rate,detector_active_at_query_rate,latency_median_ms,latency_p95_ms,mean_run_median_ms,mean_run_p95_ms,latency_trials,successful_latency_trials
original,B0_OFF,ATTACK_FIXED_MATCHED,20,1000,0.0,0.0,0.009,0.016000000000000004,0.0,0.0,0.9750000000000002,20,0.8315665290169146,1.0,,,,,,,,
original,B0_OFF,ATTACK_SWEEP_FLOOD,20,1000,0.0,0.0,0.005,0.0,0.0,1.0,0.9950000000000001,20,0.8315665290169146,1.0,,,,,,,,
original,B0_OFF,BENIGN_BOUNDARY,20,1000,0.0,0.0,0.004,0.9959999999999999,0.0,0.0,0.0,0,0.0,0.1684334709830853,,,336.943915,363.24058775,336.56285085,361.53725802249994,1000,996
original,B0_OFF,BENIGN_LOW,20,1000,0.0,0.0,0.008,0.992,0.0,0.0,0.0,0,0.0,0.1684334709830853,,,334.256391,361.23486285,334.43450602499996,386.25144191499993,1000,992
original,B1_RL2_TC,ATTACK_FIXED_MATCHED,20,1000,1.0,1.0,0.002,0.998,0.983,0.0,0.0,0,0.0,0.1684334709830853,,,,,,,,
original,B1_RL2_TC,ATTACK_SWEEP_FLOOD,20,1000,1.0,1.0,0.008,0.992,1.0,1.0,0.0,0,0.0,0.1684334709830853,,,,,,,,
original,B1_RL2_TC,BENIGN_BOUNDARY,20,1000,1.0,1.0,0.013000000000000001,0.9870000000000001,0.0,0.0,0.0,0,0.0,0.1684334709830853,,,380.5324395,420.20940199999995,380.84526422500005,435.33394563499996,1000,987
original,B1_RL2_TC,BENIGN_LOW,20,1000,1.0,1.0,0.007000000000000001,0.993,0.0,0.0,0.0,0,0.0,0.1684334709830853,,,375.9769485,409.7147655,375.84136542499994,407.8019500025,1000,993
original,B5_LOCKED_TC,ATTACK_FIXED_MATCHED,20,1000,0.0,0.0,0.004,0.016000000000000004,0.0,0.0,0.9800000000000001,20,0.8315665290169146,1.0,,,,,,,,
original,B5_LOCKED_TC,ATTACK_SWEEP_FLOOD,20,1000,1.0,1.0,0.006,0.9940000000000001,1.0,1.0,0.0,0,0.0,0.1684334709830853,,,,,,,,
original,B5_LOCKED_TC,BENIGN_BOUNDARY,20,1000,0.0,0.0,0.003,0.9970000000000001,0.0,0.0,0.0,0,0.0,0.1684334709830853,,,337.0310245,365.0025893,336.71923595000004,361.66759955000003,1000,997
original,B5_LOCKED_TC,BENIGN_LOW,20,1000,0.0,0.0,0.007000000000000001,0.993,0.0,0.0,0.0,0,0.0,0.1684334709830853,,,334.21216949999996,363.4189831,334.29561755,361.01565841999997,1000,993
original,RFC_DROP_NATIVE,ATTACK_FIXED_MATCHED,20,1000,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.1684334709830853,,,,,,,,
original,RFC_DROP_NATIVE,ATTACK_SWEEP_FLOOD,20,1000,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,0.0,0.1684334709830853,,,,,,,,
original,RFC_DROP_NATIVE,BENIGN_BOUNDARY,20,1000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.1684334709830853,,,2010.651877,2021.67215335,2010.8670397749997,2020.9394910675005,1000,0
original,RFC_DROP_NATIVE,BENIGN_LOW,20,1000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.1684334709830853,,,2010.4801404999998,2022.1239541,2010.70057665,2022.04504177,1000,0
factorial,B0_OFF,ATTACK_DIVERSE_HIGH,20,1000,0.0,0.0,0.002,0.002,0.0,1.0,0.9959999999999999,20,0.8315665290169146,1.0,0.998,1.0,,,,,,
factorial,B0_OFF,ATTACK_DIVERSE_MODERATE,20,1000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20,0.8315665290169146,1.0,1.0,0.0,,,,,,
factorial,B0_OFF,BENIGN_DIVERSE_HIGH,20,1000,0.0,0.0,0.001,0.999,0.0,1.0,0.0,0,0.0,0.1684334709830853,0.0,1.0,340.802264,367.3414865,341.084683825,365.28743528000007,1000,999
factorial,B0_OFF,BENIGN_DIVERSE_MODERATE,20,1000,0.0,0.0,0.002,0.998,0.0,0.0,0.0,0,0.0,0.1684334709830853,0.0,0.0,337.75444100000004,363.24662705,337.58833480000004,362.10963780500003,1000,998
factorial,B1_RL2_TC,ATTACK_DIVERSE_HIGH,20,1000,1.0,1.0,0.005,0.9950000000000001,0.999,1.0,0.0,0,0.0,0.1684334709830853,0.0,1.0,,,,,,
factorial,B1_RL2_TC,ATTACK_DIVERSE_MODERATE,20,1000,1.0,1.0,0.002,0.998,1.0,0.0,0.0,0,0.0,0.1684334709830853,0.0,0.0,,,,,,
factorial,B1_RL2_TC,BENIGN_DIVERSE_HIGH,20,1000,1.0,1.0,0.005,0.9949999999999999,0.0,1.0,0.0,0,0.0,0.1684334709830853,0.0,1.0,399.042552,428.14308275,399.752774,440.0863452399999,1000,995
factorial,B1_RL2_TC,BENIGN_DIVERSE_MODERATE,20,1000,1.0,1.0,0.004,0.9960000000000001,0.0,0.0,0.0,0,0.0,0.1684334709830853,0.0,0.0,378.5609575,411.96480095,378.48838402499996,411.3037855175,1000,996
factorial,B5_LOCKED_TC,ATTACK_DIVERSE_HIGH,20,1000,1.0,1.0,0.002,0.998,0.999,1.0,0.0,0,0.0,0.1684334709830853,0.0,1.0,,,,,,
factorial,B5_LOCKED_TC,ATTACK_DIVERSE_MODERATE,20,1000,0.0,0.0,0.002,0.0,0.0,0.0,0.998,20,0.8315665290169146,1.0,1.0,0.0,,,,,,
factorial,B5_LOCKED_TC,BENIGN_DIVERSE_HIGH,20,1000,1.0,1.0,0.007000000000000001,0.993,0.0,1.0,0.0,0,0.0,0.1684334709830853,0.0,1.0,398.56471250000004,434.23117195,398.71402520000004,443.95803381999997,1000,993
factorial,B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,20,1000,0.0,0.0,0.003,0.9970000000000001,0.0,0.0,0.0,0,0.0,0.1684334709830853,0.0,0.0,338.13009550000004,364.09235359999997,338.328343175,363.2909727525,1000,997
factorial,RFC_DROP_NATIVE,ATTACK_DIVERSE_HIGH,20,1000,0.0,0.0,1.0,0.0,0.999,1.0,0.0,0,0.0,0.1684334709830853,0.0,1.0,,,,,,
factorial,RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,20,1000,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.1684334709830853,0.0,0.0,,,,,,
factorial,RFC_DROP_NATIVE,BENIGN_DIVERSE_HIGH,20,1000,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.1684334709830853,0.0,1.0,2011.118942,2021.5875864500001,2011.120396975,2021.3794437275003,1000,0
